NUTS,SOUCET_HLASU,ZAPSANI_VOLICI,Strana zelených_votes,Švýcarská demokracie_votes,VOLNÝ blok_votes,Svoboda a př. demokracie (SPD)_votes,Česká str.sociálně demokrat._votes,Volte Pr.Blok www.cibulka.net_votes,ALIANCE NÁRODNÍCH SIL_votes,Trikolora Svobodní Soukromníci_votes,Aliance pro budoucnost_votes,Hnutí Prameny_votes,Levice_votes,PŘÍSAHA Roberta Šlachty_votes,"SPOLU – ODS, KDU-ČSL, TOP 09_votes",SENIOŘI 21_votes,Urza.cz: Nechceme vaše hlasy_votes,Koruna Česká (monarch.strana)_votes,PIRÁTI a STAROSTOVÉ_votes,Komunistická str.Čech a Moravy_votes,Moravské zemské hnutí_votes,ANO 2011_votes,Otevřeme ČR normálnímu životu_votes,Moravané_votes,Strana zelených_perc,Švýcarská demokracie_perc,VOLNÝ blok_perc,Svoboda a př. demokracie (SPD)_perc,Česká str.sociálně demokrat._perc,Volte Pr.Blok www.cibulka.net_perc,ALIANCE NÁRODNÍCH SIL_perc,Trikolora Svobodní Soukromníci_perc,Aliance pro budoucnost_perc,Hnutí Prameny_perc,Levice_perc,PŘÍSAHA Roberta Šlachty_perc,"SPOLU – ODS, KDU-ČSL, TOP 09_perc",SENIOŘI 21_perc,Urza.cz: Nechceme vaše hlasy_perc,Koruna Česká (monarch.strana)_perc,PIRÁTI a STAROSTOVÉ_perc,Komunistická str.Čech a Moravy_perc,Moravské zemské hnutí_perc,ANO 2011_perc,Otevřeme ČR normálnímu životu_perc,Moravané_perc
CZ010,56837,85496,576,132,443,2530,2341,55,43,1486,76,92,15,2011,22579,78,39,105,13061,1166,0,9856,116,37,141.574,32.391,105.898,597.956,562.088,18.947,11.043,351.495,19.017,21.759,3.288,459.127,5424.932,21.844,9.012,24.799,3155.885,273.782,0.0,2324.078,30.276,10.786
CZ0201,21575,31558,210,114,194,1579,1195,0,20,460,32,27,0,1060,5674,33,27,48,3677,863,0,6215,147,0,123.149,70.231,118.023,928.6659999999999,746.805,0.0,9.266,263.553,24.154,18.182,0.0,601.219,3424.184,19.91,15.371,29.986,2126.661,527.096,0.0,3773.93,79.599,0.0
CZ0202,9958,14384,105,51,116,790,474,0,9,267,19,11,0,651,2900,15,7,27,1637,448,0,2354,77,0,59.434,28.163,59.685,434.49,263.124,0.0,4.559,136.287,9.254,5.65,0.0,323.086,1493.994,7.166,4.9879999999999995,12.019,886.851,210.953,0.0,1222.329,37.942,0.0
CZ0203,25790,40829,292,177,270,2690,1184,0,24,659,53,25,0,1323,6351,46,29,56,4131,1160,0,7177,143,0,125.236,76.189,129.3,1209.257,495.414,0.0,11.193,277.581,22.456,10.432,0.0,540.312,2566.226,18.943,8.796,27.161,1633.209,516.252,0.0,3054.24,77.789,0.0
CZ0204,25223,37697,159,112,309,2231,1173,0,35,573,50,29,0,990,5330,36,31,68,6063,1084,0,6841,109,0,67.727,56.365,150.964,1078.347,567.202,0.0,16.227,282.009,24.724,17.15,0.0,484.113,2351.447,17.59,13.992,32.55,2524.988,513.178,0.0,3242.989,58.42,0.0
CZ0205,21721,33417,170,92,186,1902,1388,0,50,436,31,44,0,951,4485,40,25,42,4219,984,0,6550,126,0,90.403,58.682,96.30199999999999,1120.19,830.536,0.0,37.451,265.008,24.362,35.339999999999996,0.0,501.992,2459.56,21.866,14.530999999999999,37.578,2270.755,583.545,0.0,3878.627,73.281,0.0
CZ0206,17303,27062,179,90,173,1655,807,0,18,515,42,21,0,824,4519,27,21,38,2881,694,0,4701,98,0,83.283,36.278,71.029,764.447,315.251,0.0,8.005,207.8,22.561,8.841,0.0,350.1,1824.191,13.823,10.973,18.257,1148.285,327.43,0.0,2047.1290000000001,42.309,0.0
CZ0207,23029,33540,274,151,272,2232,1255,0,30,652,97,32,0,953,5549,22,30,32,4268,793,0,6207,180,0,148.762,76.099,147.364,1322.835,702.493,0.0,17.818,352.035,48.081,13.691,0.0,513.602,2964.425,19.672,22.259,18.042,2234.898,454.732,0.0,3345.325,97.853,0.0
CZ0208,20671,30004,194,107,209,1823,1126,0,30,511,53,37,0,969,5105,35,16,37,3755,747,0,5760,157,0,93.01,45.095,112.509,926.268,572.808,0.0,11.866,246.43,28.885,24.714000000000002,0.0,468.387,2214.878,22.022,10.281,16.599,1642.225,399.203,0.0,2872.082,92.713,0.0
CZ0209,15340,21372,143,83,143,1012,544,0,13,417,39,16,0,673,5273,26,18,25,3008,369,0,3453,85,0,54.829,36.689,57.508,423.213,215.897,0.0,5.436,172.401,18.887,6.449,0.0,269.417,1947.812,9.592,6.284,10.585,1123.403,152.495,0.0,1354.443,34.655,0.0
