NUTS,SOUCET_HLASU,ZAPSANI_VOLICI,Strana zelených_votes,Švýcarská demokracie_votes,VOLNÝ blok_votes,Svoboda a př. demokracie (SPD)_votes,Česká str.sociálně demokrat._votes,Volte Pr.Blok www.cibulka.net_votes,ALIANCE NÁRODNÍCH SIL_votes,Trikolora Svobodní Soukromníci_votes,Aliance pro budoucnost_votes,Hnutí Prameny_votes,Levice_votes,PŘÍSAHA Roberta Šlachty_votes,"SPOLU – ODS, KDU-ČSL, TOP 09_votes",SENIOŘI 21_votes,Urza.cz: Nechceme vaše hlasy_votes,Koruna Česká (monarch.strana)_votes,PIRÁTI a STAROSTOVÉ_votes,Komunistická str.Čech a Moravy_votes,Moravské zemské hnutí_votes,ANO 2011_votes,Otevřeme ČR normálnímu životu_votes,Moravané_votes,Strana zelených_perc,Švýcarská demokracie_perc,VOLNÝ blok_perc,Svoboda a př. demokracie (SPD)_perc,Česká str.sociálně demokrat._perc,Volte Pr.Blok www.cibulka.net_perc,ALIANCE NÁRODNÍCH SIL_perc,Trikolora Svobodní Soukromníci_perc,Aliance pro budoucnost_perc,Hnutí Prameny_perc,Levice_perc,PŘÍSAHA Roberta Šlachty_perc,"SPOLU – ODS, KDU-ČSL, TOP 09_perc",SENIOŘI 21_perc,Urza.cz: Nechceme vaše hlasy_perc,Koruna Česká (monarch.strana)_perc,PIRÁTI a STAROSTOVÉ_perc,Komunistická str.Čech a Moravy_perc,Moravské zemské hnutí_perc,ANO 2011_perc,Otevřeme ČR normálnímu životu_perc,Moravané_perc
CZ010,4690,7247,53,12,37,217,202,10,3,138,5,9,0,142,1885,5,8,6,1162,85,0,696,13,2,22.171,6.748,15.020999999999999,81.157,93.32600000000001,8.716,2.0229999999999997,50.753,1.76,2.862,0.0,49.802,688.153,5.703,2.415,1.741,426.06100000000004,41.206,0.0,291.389,5.724,3.263
CZ0201,7323,10445,64,43,51,559,466,0,4,157,15,13,0,365,1880,16,8,17,1163,310,0,2135,57,0,57.431,40.94,49.192,460.131,404.335,0.0,2.965,131.385,11.98,10.815,0.0,291.393,1697.421,12.397,8.809000000000001,17.525,1026.198,288.487,0.0,1847.806,40.783,0.0
CZ0202,2677,3794,27,15,35,230,146,0,2,74,4,4,0,224,676,2,3,8,418,145,0,644,20,0,22.622,11.99,27.285,175.46699999999998,109.756,0.0,1.008,52.79,3.439,2.4699999999999998,0.0,148.644,536.045,0.785,3.061,4.618,340.883,85.41199999999999,0.0,459.895,13.818999999999999,0.0
CZ0203,8539,13315,98,55,90,890,418,0,11,191,13,9,0,468,2072,16,7,23,1410,388,0,2332,48,0,56.049,32.186,58.118,552.3,219.885,0.0,6.989,116.175,6.393,4.538,0.0,239.4,1084.581,8.514,2.089,17.493000000000002,702.783,231.137,0.0,1318.673,42.699,0.0
CZ0204,10805,15927,66,42,136,982,525,0,16,255,21,10,0,452,2123,8,10,29,2446,501,0,3131,52,0,39.956,30.267,80.934,634.199,329.211,0.0,9.458,164.248,14.999,9.205,0.0,296.235,1311.853,7.587,6.1209999999999996,17.564999999999998,1439.7450000000001,308.346,0.0,1963.135,36.917,0.0
CZ0205,8143,12590,54,33,67,699,529,0,12,184,11,15,0,344,1673,14,13,19,1638,383,0,2409,46,0,44.37,30.936,53.273,597.21,445.545,0.0,6.904,155.391,14.999,16.393,0.0,256.151,1274.666,11.057,10.238999999999999,23.962,1230.25,296.99,0.0,1992.81,38.864,0.0
CZ0206,5310,8361,54,33,48,511,249,0,5,138,16,5,0,278,1307,9,5,14,794,248,0,1567,29,0,39.080999999999996,19.873,29.146,351.048,141.527,0.0,4.497,82.264,12.870000000000001,3.581,0.0,172.736,794.746,8.439,5.407,8.419,475.168,159.343,0.0,976.173,15.677999999999999,0.0
CZ0207,8900,13040,114,55,84,921,491,0,14,219,27,10,0,364,2129,8,14,8,1604,313,0,2432,93,0,76.92,30.261,60.451,697.478,363.382,0.0,10.902000000000001,166.30700000000002,16.351,5.734,0.0,268.859,1532.247,8.379,15.641,6.477,1109.785,236.16400000000002,0.0,1733.895,60.767,0.0
CZ0208,7196,10297,84,37,95,635,409,0,8,183,15,10,0,347,1679,11,10,16,1236,270,0,2103,48,0,56.419,23.146,73.357,473.318,298.066,0.0,4.702,121.463,10.542,12.072000000000001,0.0,230.93,1086.638,14.47,7.55,9.677000000000001,803.038,207.478,0.0,1527.695,39.434,0.0
CZ0209,2745,3943,27,15,21,209,113,0,2,78,11,2,0,132,918,5,2,6,483,72,0,630,19,0,18.243,11.620000000000001,16.909,165.211,87.368,0.0,0.875,59.065,10.349,2.472,0.0,100.922,609.082,3.099,1.053,4.069,352.321,61.583,0.0,481.052,14.705,0.0
