NUTS,SOUCET_HLASU,ZAPSANI_VOLICI,Strana zelených_votes,Švýcarská demokracie_votes,VOLNÝ blok_votes,Svoboda a př. demokracie (SPD)_votes,Česká str.sociálně demokrat._votes,Volte Pr.Blok www.cibulka.net_votes,ALIANCE NÁRODNÍCH SIL_votes,Trikolora Svobodní Soukromníci_votes,Aliance pro budoucnost_votes,Hnutí Prameny_votes,Levice_votes,PŘÍSAHA Roberta Šlachty_votes,"SPOLU – ODS, KDU-ČSL, TOP 09_votes",SENIOŘI 21_votes,Urza.cz: Nechceme vaše hlasy_votes,Koruna Česká (monarch.strana)_votes,PIRÁTI a STAROSTOVÉ_votes,Komunistická str.Čech a Moravy_votes,Moravské zemské hnutí_votes,ANO 2011_votes,Otevřeme ČR normálnímu životu_votes,Moravané_votes,Strana zelených_perc,Švýcarská demokracie_perc,VOLNÝ blok_perc,Svoboda a př. demokracie (SPD)_perc,Česká str.sociálně demokrat._perc,Volte Pr.Blok www.cibulka.net_perc,ALIANCE NÁRODNÍCH SIL_perc,Trikolora Svobodní Soukromníci_perc,Aliance pro budoucnost_perc,Hnutí Prameny_perc,Levice_perc,PŘÍSAHA Roberta Šlachty_perc,"SPOLU – ODS, KDU-ČSL, TOP 09_perc",SENIOŘI 21_perc,Urza.cz: Nechceme vaše hlasy_perc,Koruna Česká (monarch.strana)_perc,PIRÁTI a STAROSTOVÉ_perc,Komunistická str.Čech a Moravy_perc,Moravské zemské hnutí_perc,ANO 2011_perc,Otevřeme ČR normálnímu životu_perc,Moravané_perc
CZ010,73006,108697,737,163,552,3323,3066,74,60,1885,104,113,18,2620,28768,92,51,126,16647,1540,0,12872,142,53,174.525,38.787,127.469,762.177,714.1,23.172,14.31,432.136,24.594,25.919,3.988,585.26,6737.959,25.177,11.448,29.258,3926.9,350.638,0.0,2942.049,35.993,14.118
CZ0201,24166,35293,235,131,216,1791,1325,0,20,521,37,35,0,1175,6313,38,30,60,4144,970,0,6961,164,0,132.489,75.979,125.977,1006.034,796.698,0.0,9.266,286.514,27.867,21.589,0.0,646.395,3689.984,22.592,16.124,38.978,2305.691,565.246,0.0,4046.455,86.11,0.0
CZ0202,10964,15859,120,57,130,860,511,0,9,312,25,11,0,705,3219,17,12,30,1828,473,0,2564,81,0,65.315,29.69,66.248,464.643,281.468,0.0,4.559,153.748,10.478,5.65,0.0,347.419,1613.4660000000001,7.675,6.895,12.631,969.02,222.364,0.0,1299.846,38.859,0.0
CZ0203,27243,43025,308,189,275,2811,1244,0,28,697,56,26,0,1402,6735,47,29,57,4340,1213,0,7642,144,0,130.014,83.01,131.037,1259.995,512.574,0.0,17.329,289.122,23.141000000000002,10.908,0.0,566.164,2687.581,19.154,8.796,27.423000000000002,1697.64,535.607,0.0,3222.229,78.265,0.0
CZ0204,27389,41144,171,120,329,2384,1275,0,37,625,53,29,0,1079,5891,38,34,75,6588,1166,0,7377,118,0,70.504,58.012,157.165,1130.101,595.675,0.0,17.233,295.111,25.904,17.15,0.0,509.391,2500.512,18.55,14.511000000000001,33.926,2657.998,537.287,0.0,3398.688,62.261,0.0
CZ0205,23408,36232,186,109,209,2051,1508,0,53,467,40,50,0,1023,4780,45,26,49,4558,1064,0,7048,142,0,95.258,62.723,105.889,1166.185,864.211,0.0,38.089,273.577,26.566,36.983,0.0,523.568,2539.687,22.95,14.873,39.418,2365.977,609.854,0.0,4037.09,77.11,0.0
CZ0206,19446,30349,197,102,197,1847,917,0,24,567,44,28,0,916,5080,33,25,47,3217,755,0,5335,115,0,91.028,39.689,79.194,834.823,356.443,0.0,9.739,230.417,23.379,10.812,0.0,385.687,2032.594,16.432,11.756,22.924,1275.285,348.807,0.0,2280.287,50.694,0.0
CZ0207,24464,35685,291,159,283,2375,1347,0,31,686,102,34,0,1006,5871,27,33,32,4536,850,0,6615,186,0,153.507,78.411,152.7,1382.705,738.571,0.0,18.02,365.214,50.596,14.152000000000001,0.0,535.108,3102.031,21.971,22.864,18.042,2341.96,483.443,0.0,3520.716,99.978,0.0
CZ0208,23814,34202,230,120,243,2046,1268,0,40,595,60,42,0,1088,6036,39,20,46,4395,820,0,6542,184,0,101.92099999999999,47.683,122.037,986.9,616.574,0.0,13.711,266.963,32.024,25.681,0.0,495.393,2430.039,22.899,11.158,19.982,1810.395,419.914,0.0,3076.1,100.603,0.0
CZ0209,17494,24816,154,96,162,1131,621,0,14,474,40,21,0,766,6051,29,20,27,3439,415,0,3940,94,0,57.949,40.905,63.468,452.97,238.385,0.0,5.617,187.002,19.408,8.052999999999999,0.0,298.695,2163.401,10.552,6.967,11.098,1239.023,166.035,0.0,1493.161,37.303,0.0
