NUTS,SOUCET_HLASU,ZAPSANI_VOLICI,Strana zelených_votes,Švýcarská demokracie_votes,VOLNÝ blok_votes,Svoboda a př. demokracie (SPD)_votes,Česká str.sociálně demokrat._votes,Volte Pr.Blok www.cibulka.net_votes,ALIANCE NÁRODNÍCH SIL_votes,Trikolora Svobodní Soukromníci_votes,Aliance pro budoucnost_votes,Hnutí Prameny_votes,Levice_votes,PŘÍSAHA Roberta Šlachty_votes,"SPOLU – ODS, KDU-ČSL, TOP 09_votes",SENIOŘI 21_votes,Urza.cz: Nechceme vaše hlasy_votes,Koruna Česká (monarch.strana)_votes,PIRÁTI a STAROSTOVÉ_votes,Komunistická str.Čech a Moravy_votes,Moravské zemské hnutí_votes,ANO 2011_votes,Otevřeme ČR normálnímu životu_votes,Moravané_votes,Strana zelených_perc,Švýcarská demokracie_perc,VOLNÝ blok_perc,Svoboda a př. demokracie (SPD)_perc,Česká str.sociálně demokrat._perc,Volte Pr.Blok www.cibulka.net_perc,ALIANCE NÁRODNÍCH SIL_perc,Trikolora Svobodní Soukromníci_perc,Aliance pro budoucnost_perc,Hnutí Prameny_perc,Levice_perc,PŘÍSAHA Roberta Šlachty_perc,"SPOLU – ODS, KDU-ČSL, TOP 09_perc",SENIOŘI 21_perc,Urza.cz: Nechceme vaše hlasy_perc,Koruna Česká (monarch.strana)_perc,PIRÁTI a STAROSTOVÉ_perc,Komunistická str.Čech a Moravy_perc,Moravské zemské hnutí_perc,ANO 2011_perc,Otevřeme ČR normálnímu životu_perc,Moravané_perc
CZ010,457706,663535,4464,1145,3448,21275,18516,427,372,11759,649,606,169,15950,181327,633,351,796,103108,10096,0,81200,1156,259,855.414,218.185,645.751,3974.751,3510.99,89.396,69.971,2198.704,121.543,111.623,30.835,2956.723,33919.919,125.782,64.581,150.084,19664.76,1913.36,0.0,15210.482,216.591,50.536
CZ0201,50565,74434,480,294,447,3677,2695,0,61,1110,82,79,0,2455,13545,85,58,125,8809,1907,0,14333,323,0,201.326,117.898,194.364,1507.261,1153.896,0.0,21.059,441.82,41.835,32.689,0.0,995.764,5619.061,33.99,23.861,59.755,3579.147,833.423,0.0,6007.681,135.15,0.0
CZ0202,41714,60733,389,200,435,3030,1873,0,28,1070,91,51,0,2476,12473,63,46,90,7352,1738,0,10028,281,0,114.03,61.269,122.83,892.595,533.957,0.0,7.584,298.978,22.834,14.678,0.0,669.792,3348.79,16.830000000000002,13.41,26.186,2013.2649999999999,469.058,0.0,2696.776,77.111,0.0
CZ0203,76322,122351,801,519,666,7406,3265,0,100,1983,148,126,0,3893,19578,122,86,153,12961,3278,0,20875,362,0,219.924,145.586,204.875,2157.072,902.191,0.0,31.861,531.967,40.994,29.259,0.0,1042.076,5094.536,34.358,18.991,46.797,3326.46,949.998,0.0,5803.578,119.438,0.0
CZ0204,51239,77640,335,214,560,4514,2350,0,61,1187,100,64,0,2065,10788,71,59,112,12800,2084,0,13625,250,0,100.622,75.381,201.882,1541.93,801.491,0.0,21.237,402.788,34.084,24.55,0.0,700.2,3450.64,24.355,20.182,41.052,3844.954,723.388,0.0,4603.284,87.964,0.0
CZ0205,38862,59929,284,182,321,3362,2515,0,82,770,75,77,0,1720,8180,64,38,77,7575,1679,0,11645,216,0,116.249,80.192,130.916,1465.1,1073.734,0.0,45.132,336.286,36.304,43.565,0.0,677.891,3228.821,26.333,18.605999999999998,45.024,2980.817,745.06,0.0,5056.24,93.738,0.0
CZ0206,49384,76167,523,240,455,4479,2234,0,63,1416,105,77,0,2327,13559,77,58,97,8505,1773,0,13135,261,0,154.286,67.499,131.168,1359.869,627.124,0.0,18.554,397.841,35.741,20.81,0.0,653.051,3650.289,26.42,18.968,31.361,2329.719,562.439,0.0,3832.041,82.818,0.0
CZ0207,62168,92666,769,345,737,5862,3364,0,68,1685,255,88,0,2594,15911,87,69,94,10971,2183,0,16654,432,0,263.002,121.194,278.206,2239.517,1240.507,0.0,25.777,601.571,88.262,24.176000000000002,0.0,935.792,5352.213,37.794,32.645,33.633,3817.563,815.1610000000001,0.0,5932.472,160.485,0.0
CZ0208,48782,73245,498,253,522,4063,2367,0,82,1219,113,83,0,2188,12826,69,43,98,9720,1579,0,12727,332,0,152.893,72.956,174.179,1378.12,825.802,0.0,22.093,384.284,41.418,33.543,0.0,708.09,3715.971,29.129,15.117,29.139,2808.94,573.045,0.0,4305.104,130.147,0.0
CZ0209,68242,93897,576,319,615,4122,2361,0,66,1895,117,120,0,2682,25185,119,64,123,14599,1412,0,13519,348,0,128.149,78.995,136.101,960.418,531.311,0.0,14.249,424.834,33.723,25.131999999999998,0.0,620.201,5316.735,26.51,14.191,28.688,3044.766,335.35,0.0,3099.578,81.048,0.0
