NUTS,SOUCET_HLASU,ZAPSANI_VOLICI,Strana zelených_votes,Švýcarská demokracie_votes,VOLNÝ blok_votes,Svoboda a př. demokracie (SPD)_votes,Česká str.sociálně demokrat._votes,Volte Pr.Blok www.cibulka.net_votes,ALIANCE NÁRODNÍCH SIL_votes,Trikolora Svobodní Soukromníci_votes,Aliance pro budoucnost_votes,Hnutí Prameny_votes,Levice_votes,PŘÍSAHA Roberta Šlachty_votes,"SPOLU – ODS, KDU-ČSL, TOP 09_votes",SENIOŘI 21_votes,Urza.cz: Nechceme vaše hlasy_votes,Koruna Česká (monarch.strana)_votes,PIRÁTI a STAROSTOVÉ_votes,Komunistická str.Čech a Moravy_votes,Moravské zemské hnutí_votes,ANO 2011_votes,Otevřeme ČR normálnímu životu_votes,Moravané_votes,Strana zelených_perc,Švýcarská demokracie_perc,VOLNÝ blok_perc,Svoboda a př. demokracie (SPD)_perc,Česká str.sociálně demokrat._perc,Volte Pr.Blok www.cibulka.net_perc,ALIANCE NÁRODNÍCH SIL_perc,Trikolora Svobodní Soukromníci_perc,Aliance pro budoucnost_perc,Hnutí Prameny_perc,Levice_perc,PŘÍSAHA Roberta Šlachty_perc,"SPOLU – ODS, KDU-ČSL, TOP 09_perc",SENIOŘI 21_perc,Urza.cz: Nechceme vaše hlasy_perc,Koruna Česká (monarch.strana)_perc,PIRÁTI a STAROSTOVÉ_perc,Komunistická str.Čech a Moravy_perc,Moravské zemské hnutí_perc,ANO 2011_perc,Otevřeme ČR normálnímu životu_perc,Moravané_perc
CZ010,402812,585253,3911,1019,3074,18720,16271,374,328,10395,577,529,148,14052,159590,554,301,685,90708,8952,0,71380,1016,228,765.222,198.162,586.458,3567.154,3151.639,80.584,62.939,1980.207,110.193,99.845,27.309,2656.312,30453.868,112.667,56.652,132.022,17670.84,1725.442,0.0,13622.726,194.431,45.299
CZ0201,49644,73244,470,291,437,3609,2652,0,61,1081,81,78,0,2410,13246,85,58,124,8629,1881,0,14133,318,0,197.145,116.689,191.199,1485.784,1139.472,0.0,21.059,431.421,41.62,32.022,0.0,980.122,5525.623,33.99,23.861,59.54,3521.302,823.898,0.0,5942.174,133.06,0.0
CZ0202,39245,57198,356,186,402,2884,1777,0,28,1009,87,47,0,2367,11666,57,43,87,6875,1658,0,9445,271,0,108.177,58.258,116.71,869.62,518.027,0.0,7.584,288.884,22.305,14.141,0.0,653.731,3219.986,15.992,12.707,25.742,1937.485,456.313,0.0,2599.162,75.144,0.0
CZ0203,66904,105096,703,460,563,6575,2897,0,85,1712,126,102,0,3434,16930,109,77,138,11189,2885,0,18592,327,0,205.65,136.092,188.864,2027.346,843.184,0.0,29.2,487.975,37.401,25.239,0.0,968.614,4676.262,32.373,17.475,44.348,3039.39,888.072,0.0,5437.81,114.662,0.0
CZ0204,49615,75385,322,209,537,4407,2272,0,59,1152,97,63,0,2013,10341,69,58,109,12339,2040,0,13285,243,0,98.188,74.412,198.012,1521.021,788.387,0.0,20.926,397.935,33.486,24.425,0.0,690.34,3369.455,23.984,19.835,40.556,3761.574,713.598,0.0,4537.049,86.804,0.0
CZ0205,37124,57291,277,176,307,3225,2419,0,77,744,72,76,0,1653,7758,59,35,75,7221,1604,0,11135,211,0,114.185,79.458,127.98,1439.858,1051.356,0.0,44.443,333.16700000000003,35.891,43.427,0.0,662.683,3166.482,25.737,17.032,44.81,2930.549,730.156,0.0,4959.652,93.142,0.0
CZ0206,46961,72637,508,226,433,4246,2147,0,62,1356,103,74,0,2200,12840,72,54,93,8129,1711,0,12459,248,0,152.4,65.693,128.529,1330.911,615.264,0.0,18.472,390.591,35.397,20.324,0.0,638.518,3561.271,25.711,18.4,30.913,2283.889,554.907,0.0,3747.589,81.215,0.0
CZ0207,57882,86583,724,319,664,5468,3180,0,60,1563,232,72,0,2432,14734,81,64,86,10209,2051,0,15542,401,0,254.486,117.227,243.023,2162.964,1203.599,0.0,24.805,583.127,83.649,21.72,0.0,909.06,5147.616,36.168,31.945,32.164,3681.415,791.085,0.0,5722.691,153.232,0.0
CZ0208,46723,69046,478,247,495,3862,2263,0,81,1158,106,81,0,2078,12278,67,43,94,9314,1539,0,12217,322,0,149.785,72.117,170.209,1349.55,811.428,0.0,21.981,375.713,40.459,33.319,0.0,691.59,3636.32,28.793,15.117,28.508,2749.255,567.111,0.0,4230.028,128.685,0.0
CZ0209,59280,81948,497,281,541,3605,2063,0,54,1663,111,101,0,2375,21708,98,59,106,12472,1257,0,11979,310,0,115.839,73.508,124.799,883.171,489.318,0.0,12.415,391.29,32.89,21.637,0.0,575.2379999999999,4817.773,23.093,13.448,26.045,2740.899,308.876,0.0,2874.383,75.357,0.0
CZ020A,39180,53147,429,182,300,2136,1330,0,37,1043,50,44,0,1513,14599,58,47,86,9056,854,0,7258,158,0,92.486,43.019999999999996,73.247,478.33,297.364,0.0,8.902,235.306,11.177999999999999,12.751,0.0,348.851,3109.383,13.584,11.216000000000001,21.126,1901.509,193.109,0.0,1609.396,39.237,0.0
CZ020B,55046,81990,597,311,571,4267,2905,0,62,1273,86,81,0,3126,14487,91,55,105,9390,2380,0,14895,364,0,240.753,131.989,217.524,1719.06,1181.356,0.0,22.757,492.252,38.475,35.108,0.0,1216.41,5582.46,38.474,20.454,49.596,3542.07,1014.807,0.0,5907.416,149.016,0.0
CZ020C,26143,41023,255,128,226,2459,1478,0,24,637,54,43,0,1382,5518,31,33,75,4261,1456,0,7947,136,0,101.643,62.68,91.389,1140.055,684.672,0.0,12.435,305.817,20.119,15.463000000000001,0.0,575.755,2278.869,10.989,14.884,36.487,1746.933,733.135,0.0,3707.616,61.042,0.0
CZ0311,92021,134257,903,292,1076,7933,4480,0,109,3467,286,220,0,4127,28112,0,146,153,13581,3858,0,22806,392,80,286.739,108.722,383.034,2657.83,1524.834,0.0,34.742,1138.824,89.138,81.735,0.0,1258.827,8530.355,0.0,48.745,47.215,3957.218,1388.189,0.0,7365.046,168.599,30.208000000000002
CZ0312,26869,42899,355,104,350,2812,1350,0,31,860,55,51,0,1183,7389,0,41,43,3443,1220,0,7383,162,37,102.38499999999999,29.984,96.15,810.753,360.903,0.0,7.593,247.539,16.605,16.581,0.0,333.284,2105.623,0.0,11.385,12.655,931.499,318.581,0.0,2046.832,41.89,9.791
CZ0313,46227,70155,431,114,518,4319,2659,0,62,1752,82,50,0,2235,12017,0,60,86,6053,2339,0,13187,191,72,180.236,45.05,248.467,2010.391,1158.47,0.0,24.291,802.508,37.504,24.508,0.0,1043.332,5229.122,0.0,19.76,45.371,2549.875,1127.841,0.0,6008.89,93.19,51.181
CZ0314,36780,56679,349,107,352,3260,2385,0,35,1210,171,61,0,1600,10989,0,61,67,4564,1725,0,9653,152,39,142.16,39.46,163.294,1408.136,924.168,0.0,10.741,547.311,72.58500000000001,23.205,0.0,651.103,4178.795,0.0,28.198,25.968,1756.33,753.486,0.0,3894.455,68.449,12.156
CZ0315,25691,40891,230,67,376,2507,1381,0,30,835,51,53,0,1095,7313,0,57,60,3380,1181,0,6933,111,31,122.223,30.525,158.753,1090.2069999999999,546.919,0.0,17.132,394.214,31.872,18.481,0.0,469.187,3065.987,0.0,27.409000000000002,29.206,1383.3029999999999,530.092,0.0,2923.427,50.064,11.008000000000001
CZ0316,35258,54261,355,118,356,3389,2009,0,40,1061,136,60,0,1515,9810,0,61,72,4131,1516,0,10425,159,45,202.729,77.519,170.609,1989.525,1086.377,0.0,32.748,604.664,78.841,44.165,0.0,741.364,5288.458,0.0,38.995,37.017,2170.957,944.016,0.0,5672.1,96.087,23.828
CZ0317,54148,80833,529,185,492,4328,3154,0,149,1561,99,67,0,2596,15783,0,75,126,7502,2414,0,14781,250,57,186.172,75.451,188.687,1690.177,1238.04,0.0,50.558,605.1,42.247,23.185,0.0,1019.612,5832.845,0.0,26.61,59.403,2645.197,1004.377,0.0,5694.21,93.411,24.732
CZ0321,26334,41870,189,85,309,3190,1674,0,18,601,129,85,0,1023,6703,38,32,48,3124,1231,0,7688,167,0,97.388,45.086,154.8,1579.151,869.921,0.0,5.916,277.12,62.945,42.33,0.0,475.53499999999997,2932.278,20.036,16.476,24.875,1417.577,540.322,0.0,3656.128,82.112,0.0
CZ0322,43743,66133,404,135,591,4487,2313,0,44,936,103,80,0,2197,11133,61,44,101,5536,1816,0,13545,217,0,223.596,62.158,312.322,2530.5,1214.602,0.0,24.88,546.112,50.925,43.422000000000004,0.0,1101.245,5289.251,35.542,16.761,50.453,2789.7,1021.529,0.0,7272.494,114.509,0.0
CZ0323,87885,135816,840,239,990,7097,4035,0,62,2444,219,211,0,3813,27126,133,74,239,14429,2743,0,22927,264,0,201.669,55.334,226.585,1682.425,956.956,0.0,14.575,568.194,54.155,52.849,0.0,895.187,6118.434,35.512,17.684,55.945,3357.568,665.693,0.0,5378.189,63.022,0.0
CZ0324,34150,52878,344,109,479,3794,1793,0,44,879,122,57,0,1894,8173,62,40,116,4187,1626,0,10248,183,0,181.858,52.354,273.269,2212.847,1079.902,0.0,26.174,454.005,73.638,37.406,0.0,1053.872,4157.367,42.753,28.014,59.243,2091.371,996.751,0.0,6065.725,113.455,0.0
CZ0325,39881,61551,417,120,481,4153,1909,0,60,974,138,93,0,1968,10549,70,55,105,5443,1632,0,11481,233,0,151.975,40.36,187.706,1522.492,748.234,0.0,36.72,328.611,56.657,33.116,0.0,717.963,3570.921,21.509,24.722,30.482,1818.128,663.4,0.0,4463.937,83.077,0.0
CZ0326,25018,38325,264,66,289,2492,1170,0,41,651,67,43,0,1327,6030,78,25,60,3152,1202,0,7929,132,0,103.484,21.969,96.663,951.128,484.645,0.0,11.025,244.183,27.074,19.495,0.0,521.786,2396.994,30.927,8.69,30.143,1286.783,509.081,0.0,3297.3559999999998,58.573,0.0
CZ0327,22559,39152,341,69,412,2819,1105,0,21,453,48,41,0,1007,3968,34,17,52,2778,1458,0,7801,135,0,130.052,33.147,134.456,1167.611,389.254,0.0,11.271,151.055,21.392,17.382,0.0,382.636,1336.874,16.968,8.113,14.715,994.473,572.234,0.0,2871.138,47.232,0.0
CZ0411,33941,61458,464,145,582,4188,1267,0,37,923,118,63,0,1503,6859,0,54,65,4865,1395,0,11226,187,0,138.573,46.546,176.471,1325.151,358.973,0.0,10.622,295.687,35.197,21.55,0.0,435.616,2053.697,0.0,15.562,18.936,1429.228,439.699,0.0,3534.235,64.245,0.0
CZ0412,49409,83478,479,213,729,5607,1780,0,51,1369,227,81,0,2432,11368,0,93,75,7409,1533,0,15521,442,0,140.356,67.122,215.32,1600.644,470.827,0.0,17.384999999999998,378.663,56.355,20.215,0.0,657.76,3035.844,0.0,27.137,22.502,1949.596,431.02,0.0,4182.645,126.595,0.0
CZ0413,37339,69755,422,137,573,5674,1488,0,33,1063,163,44,0,2021,6201,0,64,63,4841,1154,0,13137,261,0,104.886,32.497,144.995,1434.396,357.884,0.0,7.594,244.558,37.087,13.281,0.0,493.85,1459.262,0.0,14.482,13.901,1161.15,295.592,0.0,3214.338,70.252,0.0
CZ0421,51395,90377,488,122,751,6894,1673,0,57,1655,229,101,0,2336,8836,0,104,56,7063,1807,0,18921,302,0,128.567,33.392,217.917,1859.088,447.426,0.0,15.311,452.08,62.125,26.729,0.0,642.478,2389.453,0.0,30.65,15.865,1941.693,505.622,0.0,5043.431,88.159,0.0
CZ0422,48441,89546,644,123,705,6169,1618,0,77,1362,126,66,0,2366,8883,0,83,52,5535,2097,0,18172,363,0,143.053,29.19,156.043,1451.819,371.038,0.0,15.961,308.298,26.111,15.571,0.0,539.498,1973.619,0.0,23.12,11.987,1243.605,504.394,0.0,4200.8949999999995,85.807,0.0
CZ0423,58563,91973,714,173,687,6117,1971,0,77,1785,179,97,0,2540,13249,0,72,79,8549,2706,0,19170,398,0,250.621,63.725,254.793,2327.667,695.475,0.0,33.973,629.855,62.369,38.993,0.0,925.711,4564.049,0.0,33.756,29.304000000000002,2986.91,1065.229,0.0,7168.827,168.755,0.0
CZ0424,38297,64643,467,77,515,4828,1386,0,39,896,95,56,0,1690,7145,0,68,59,3990,1851,0,14914,221,0,183.22,28.28,231.904,2177.285,569.49,0.0,16.298000000000002,379.963,46.727000000000004,18.73,0.0,734.1080000000001,2754.161,0.0,34.354,25.819,1558.378,813.699,0.0,6633.995,93.566,0.0
CZ0425,44771,85958,711,95,579,5823,1379,0,54,1439,134,58,0,1940,7640,0,60,42,4904,2037,0,17622,254,0,223.883,24.438,154.238,1622.906,388.998,0.0,19.611,392.397,36.209,13.974,0.0,514.468,2026.791,0.0,14.904,11.466,1391.988,563.926,0.0,4824.189,75.615,0.0
CZ0426,53433,98320,735,105,624,6700,1774,0,50,1864,122,63,0,2109,10821,0,97,66,5872,1854,0,20320,257,0,181.367,26.436,155.637,1637.073,423.002,0.0,11.154,454.745,28.977,14.339,0.0,503.559,2555.041,0.0,24.375,17.096,1396.496,455.617,0.0,4950.151,64.951,0.0
CZ0427,52975,92223,672,119,536,5863,1499,0,28,1885,266,89,0,2579,10304,0,73,52,8089,1782,0,18845,294,0,172.487,31.683,145.441,1556.624,396.363,0.0,8.951,484.674,63.994,22.814,0.0,662.303,2606.175,0.0,17.501,13.963,2073.2,467.097,0.0,5000.259,76.42699999999999,0.0
CZ0511,47144,80823,627,143,785,6237,1611,0,70,1042,179,50,0,1998,8497,0,82,130,8526,1859,0,15084,224,0,194.186,50.43,252.3,1977.808,497.802,0.0,24.253,333.419,44.157000000000004,15.991,0.0,602.337,2680.274,0.0,23.679000000000002,39.092,2670.653,623.041,0.0,4698.682,71.88,0.0
CZ0512,44370,68775,447,135,591,5041,1421,0,59,1393,92,66,0,1765,11603,0,67,66,8827,1235,0,11330,232,0,115.672,33.315,166.535,1334.155,376.063,0.0,16.443,370.615,26.74,20.371,0.0,489.997,3104.16,0.0,18.721,19.42,2354.113,339.553,0.0,2944.17,69.934,0.0
CZ0513,72546,113847,990,238,978,7797,2486,0,65,2079,137,113,0,3296,15078,0,113,124,16695,1996,0,19899,462,0,230.612,62.636,261.04,1971.431,622.775,0.0,15.293,503.001,37.981,27.147,0.0,808.813,3617.198,0.0,26.721,30.73,3958.451,514.301,0.0,4903.744,108.12,0.0
CZ0514,38759,55385,430,104,586,3533,1620,0,69,1080,119,127,0,1695,10164,0,63,38,8958,1182,0,8811,180,0,135.75900000000001,34.057,190.205,1053.415,489.089,0.0,18.208,326.57,41.24,43.112,0.0,516.578,2926.43,0.0,22.409,10.822,2736.296,378.301,0.0,2713.487,64.022,0.0
CZ0521,85077,123464,944,309,1003,6767,3803,0,83,2776,153,181,0,3864,25626,0,93,118,13201,2956,0,22804,396,0,261.474,89.832,337.203,2133.413,1127.038,0.0,22.382,841.427,48.53,45.41,0.0,1138.024,6922.914,0.0,36.679,41.772,3453.793,951.993,0.0,7105.525,142.598,0.0
CZ0522,41851,61867,437,161,598,3642,2109,0,32,1200,193,130,0,2086,10045,0,82,75,7126,1549,0,12168,218,0,174.436,69.631,281.066,1611.718,941.717,0.0,13.548,525.876,94.794,66.812,0.0,893.075,4054.561,0.0,39.101,31.175,2860.308,681.523,0.0,5160.525,100.122,0.0
CZ0523,57064,86110,548,153,694,5388,3827,0,53,1379,130,125,0,2665,16581,0,85,88,8167,1627,0,15216,338,0,172.094,50.371,225.639,1781.806,1199.456,0.0,17.567,474.631,46.607,46.51,0.0,877.27,5087.832,0.0,23.455,31.437,2597.752,543.465,0.0,4806.282,117.824,0.0
CZ0524,41845,61561,429,151,623,4311,2029,0,40,1320,99,70,0,2247,11884,0,71,47,5264,1725,0,11207,328,0,128.585,51.215,214.881,1522.775,724.048,0.0,15.615,447.307,35.706,24.825,0.0,755.48,4065.677,0.0,25.683,14.278,1778.898,611.217,0.0,3742.011,141.805,0.0
CZ0525,58277,89511,722,174,918,5797,2297,0,58,1695,102,97,0,2629,16506,0,86,97,9115,2003,0,15541,440,0,195.176,53.067,276.99399999999997,1604.788,637.971,0.0,16.386,464.358,29.286,32.929,0.0,728.612,4392.56,0.0,27.862000000000002,26.174,2443.031,558.452,0.0,4281.017,131.323,0.0
CZ0531,51875,76602,453,169,815,4822,2962,0,69,1310,157,72,0,2146,14065,0,94,70,6443,2333,0,15557,257,81,188.209,65.633,333.824,2035.626,1213.855,0.0,25.936,510.871,59.785,26.608999999999998,0.0,905.077,5442.002,0.0,40.706,27.994,2544.951,951.623,0.0,6388.419,107.193,31.674
CZ0532,76943,111727,766,182,1024,6810,3678,0,78,2498,232,164,0,3428,22878,0,122,131,11392,2659,0,20468,349,84,238.394,57.779,339.909,2265.687,1139.69,0.0,24.005,803.182,92.104,51.91,0.0,1105.412,6649.866,0.0,43.47,42.79,3391.707,934.985,0.0,6674.54,115.615,28.904
CZ0533,54160,82754,505,126,875,4925,3041,0,114,1322,123,121,0,2726,15173,0,99,62,7306,2432,0,14750,230,230,200.459,49.733,322.467,1832.41,1022.309,0.0,42.631,456.584,47.863,48.663000000000004,0.0,941.23,4848.593,0.0,31.072,22.319,2559.053,938.009,0.0,5268.26,86.262,82.086
CZ0534,71165,103196,808,228,1287,7326,3272,0,97,2141,207,161,0,4373,19751,0,134,93,10554,2362,0,17826,406,139,228.529,60.709,383.553,2240.592,929.582,0.0,31.977,632.879,71.835,50.767,0.0,1248.7069999999999,5411.111,0.0,38.006,29.832,2941.809,751.429,0.0,5271.994,131.568,45.14
CZ0631,48779,71046,543,119,487,3938,3006,0,61,1223,160,48,0,2365,13329,0,69,107,6344,2468,20,14219,217,56,238.306,49.749,215.592,1728.72,1262.183,0.0,17.016,536.606,64.865,22.689,0.0,1012.939,5425.813,0.0,31.2,76.766,2575.747,1138.652,7.556,6287.121,83.6,24.899
CZ0632,59559,87011,536,191,717,5736,3164,0,41,1894,115,82,0,3359,17554,0,76,72,8104,2494,60,14987,260,117,208.214,74.08,275.439,2118.453,1252.237,0.0,12.33,692.718,46.499,28.335,0.0,1280.599,6362.762,0.0,22.418,24.805,2821.78,994.14,24.986,5299.001,110.211,50.977
CZ0633,36365,53157,263,97,329,2842,3178,0,25,882,68,45,0,1853,9725,0,76,43,5426,1636,19,9672,142,44,116.29899999999999,57.393,197.123,1552.618,1774.263,0.0,10.667,477.336,32.776,31.087,0.0,926.684,4838.892,0.0,51.586,26.108,2855.469,851.442,11.973,5094.108,65.581,28.584
CZ0634,56104,82382,388,147,802,5831,3123,0,44,1452,119,63,0,3052,14333,0,83,62,7184,3069,96,15856,173,227,168.553,65.162,335.544,2453.765,1400.919,0.0,21.832,594.661,50.155,20.302,0.0,1304.852,5955.325,0.0,41.428,24.413,2930.281,1358.488,48.035,7014.412,95.458,116.437
CZ0635,59852,86703,403,168,655,4853,4643,0,43,1458,123,64,0,3069,18066,0,85,64,8083,2557,82,15020,205,211,161.32,68.603,320.538,2153.544,2068.022,0.0,17.715,680.693,45.646,37.11,0.0,1296.6490000000001,7698.396,0.0,40.765,31.31,3309.664,1242.911,37.218,6395.372,91.031,103.478
CZ0641,56400,82563,461,128,937,5689,3112,0,46,1419,67,88,31,3385,15431,45,63,63,7321,2666,115,14874,130,329,169.749,51.342,306.227,1962.787,1047.575,0.0,20.558,468.137,28.71,30.459,9.149,1119.868,5151.033,16.072,21.207,22.266000000000002,2405.9809999999998,895.804,35.557,5246.746,52.622,138.166
