NUTS,SOUCET_HLASU,ZAPSANI_VOLICI,Strana zelených_votes,Švýcarská demokracie_votes,VOLNÝ blok_votes,Svoboda a př. demokracie (SPD)_votes,Česká str.sociálně demokrat._votes,Volte Pr.Blok www.cibulka.net_votes,ALIANCE NÁRODNÍCH SIL_votes,Trikolora Svobodní Soukromníci_votes,Aliance pro budoucnost_votes,Hnutí Prameny_votes,Levice_votes,PŘÍSAHA Roberta Šlachty_votes,"SPOLU – ODS, KDU-ČSL, TOP 09_votes",SENIOŘI 21_votes,Urza.cz: Nechceme vaše hlasy_votes,Koruna Česká (monarch.strana)_votes,PIRÁTI a STAROSTOVÉ_votes,Komunistická str.Čech a Moravy_votes,Moravské zemské hnutí_votes,ANO 2011_votes,Otevřeme ČR normálnímu životu_votes,Moravané_votes,Strana zelených_perc,Švýcarská demokracie_perc,VOLNÝ blok_perc,Svoboda a př. demokracie (SPD)_perc,Česká str.sociálně demokrat._perc,Volte Pr.Blok www.cibulka.net_perc,ALIANCE NÁRODNÍCH SIL_perc,Trikolora Svobodní Soukromníci_perc,Aliance pro budoucnost_perc,Hnutí Prameny_perc,Levice_perc,PŘÍSAHA Roberta Šlachty_perc,"SPOLU – ODS, KDU-ČSL, TOP 09_perc",SENIOŘI 21_perc,Urza.cz: Nechceme vaše hlasy_perc,Koruna Česká (monarch.strana)_perc,PIRÁTI a STAROSTOVÉ_perc,Komunistická str.Čech a Moravy_perc,Moravské zemské hnutí_perc,ANO 2011_perc,Otevřeme ČR normálnímu životu_perc,Moravané_perc
CZ010,419363,608187,4092,1071,3211,19532,16951,387,342,10837,603,557,156,14612,166134,572,312,712,94559,9298,0,74131,1058,236,793.7,206.393,607.574,3690.867,3252.506,82.686,65.149,2046.8990000000001,114.362,103.862,28.595,2741.586,31434.645,115.401,58.259,136.259,18246.068,1780.676,0.0,14046.885,200.833,46.773
CZ0201,50565,74434,480,294,447,3677,2695,0,61,1110,82,79,0,2455,13545,85,58,125,8809,1907,0,14333,323,0,201.326,117.898,194.364,1507.261,1153.896,0.0,21.059,441.82,41.835,32.689,0.0,995.764,5619.061,33.99,23.861,59.755,3579.147,833.423,0.0,6007.681,135.15,0.0
CZ0202,39245,57198,356,186,402,2884,1777,0,28,1009,87,47,0,2367,11666,57,43,87,6875,1658,0,9445,271,0,108.177,58.258,116.71,869.62,518.027,0.0,7.584,288.884,22.305,14.141,0.0,653.731,3219.986,15.992,12.707,25.742,1937.485,456.313,0.0,2599.162,75.144,0.0
CZ0203,70081,109759,735,482,596,6817,2997,0,90,1794,134,110,0,3595,17864,114,82,140,11825,3017,0,19353,336,0,211.419,140.428,195.517,2076.169,862.221,0.0,30.230999999999998,504.715,38.893,27.042,0.0,999.424,4849.088,33.169,18.358,44.732,3161.83,912.618,0.0,5578.18,115.928,0.0
CZ0204,50412,76485,327,211,549,4454,2319,0,60,1182,99,64,0,2031,10537,69,58,110,12609,2056,0,13429,248,0,98.815,74.663,199.518,1526.918,794.284,0.0,21.051,401.699,33.737,24.55,0.0,692.598,3394.047,23.984,19.835,40.681,3795.451,715.606,0.0,4555.117,87.431,0.0
CZ0205,37124,57291,277,176,307,3225,2419,0,77,744,72,76,0,1653,7758,59,35,75,7221,1604,0,11135,211,0,114.185,79.458,127.98,1439.858,1051.356,0.0,44.443,333.16700000000003,35.891,43.427,0.0,662.683,3166.482,25.737,17.032,44.81,2930.549,730.156,0.0,4959.652,93.142,0.0
CZ0206,48888,75323,518,237,449,4424,2211,0,63,1406,104,76,0,2311,13429,75,58,97,8442,1761,0,12969,258,0,153.278,66.894,129.958,1348.78,622.487,0.0,18.554,395.825,35.539,20.608,0.0,649.825,3624.079,26.017,18.968,31.361,2317.017,560.02,0.0,3798.573,82.213,0.0
CZ0207,59721,89282,742,331,719,5655,3269,0,61,1605,241,80,0,2488,15157,82,67,89,10511,2122,0,16082,420,0,259.987,119.377,275.872,2212.129,1229.626,0.0,25.045,591.847,86.55499999999999,23.088,0.0,921.438,5262.4710000000005,36.994,32.478,32.679,3759.701,808.655,0.0,5863.041,158.99,0.0
CZ0208,47319,70111,489,250,504,3924,2288,0,81,1171,108,81,0,2112,12426,69,43,95,9421,1548,0,12382,327,0,151.631,72.62,171.719,1359.953,815.623,0.0,21.981,377.894,40.795,33.319,0.0,697.295,3661.152,29.129,15.117,28.676000000000002,2767.208,568.621,0.0,4257.713,129.524,0.0
CZ0209,62285,86031,524,296,558,3789,2173,0,58,1740,113,104,0,2496,22834,102,62,110,13176,1298,0,12532,320,0,119.584,75.624,127.049,906.758,504.152,0.0,13.014,401.553,33.195,22.03,0.0,591.337,4968.562,23.602,13.88,26.53,2836.032,314.292,0.0,2946.139,76.648,0.0
CZ020A,40682,55066,443,187,306,2228,1376,0,38,1071,52,44,0,1570,15204,63,50,89,9383,879,0,7538,161,0,95.413,43.991,74.465,496.992,306.543,0.0,9.085,240.879,11.589,12.751,0.0,360.26,3229.186,14.643,11.776,21.73,1967.485,198.171,0.0,1665.113,39.92,0.0
