NUTS,SOUCET_HLASU,ZAPSANI_VOLICI,Strana zelených_votes,Švýcarská demokracie_votes,VOLNÝ blok_votes,Svoboda a př. demokracie (SPD)_votes,Česká str.sociálně demokrat._votes,Volte Pr.Blok www.cibulka.net_votes,ALIANCE NÁRODNÍCH SIL_votes,Trikolora Svobodní Soukromníci_votes,Aliance pro budoucnost_votes,Hnutí Prameny_votes,Levice_votes,PŘÍSAHA Roberta Šlachty_votes,"SPOLU – ODS, KDU-ČSL, TOP 09_votes",SENIOŘI 21_votes,Urza.cz: Nechceme vaše hlasy_votes,Koruna Česká (monarch.strana)_votes,PIRÁTI a STAROSTOVÉ_votes,Komunistická str.Čech a Moravy_votes,Moravské zemské hnutí_votes,ANO 2011_votes,Otevřeme ČR normálnímu životu_votes,Moravané_votes,Strana zelených_perc,Švýcarská demokracie_perc,VOLNÝ blok_perc,Svoboda a př. demokracie (SPD)_perc,Česká str.sociálně demokrat._perc,Volte Pr.Blok www.cibulka.net_perc,ALIANCE NÁRODNÍCH SIL_perc,Trikolora Svobodní Soukromníci_perc,Aliance pro budoucnost_perc,Hnutí Prameny_perc,Levice_perc,PŘÍSAHA Roberta Šlachty_perc,"SPOLU – ODS, KDU-ČSL, TOP 09_perc",SENIOŘI 21_perc,Urza.cz: Nechceme vaše hlasy_perc,Koruna Česká (monarch.strana)_perc,PIRÁTI a STAROSTOVÉ_perc,Komunistická str.Čech a Moravy_perc,Moravské zemské hnutí_perc,ANO 2011_perc,Otevřeme ČR normálnímu životu_perc,Moravané_perc
CZ010,519445,749762,5040,1333,3887,23964,20992,484,411,13253,722,681,193,17966,206568,711,395,881,117709,11230,0,91423,1307,295,948.741,247.292,715.785,4398.023,3908.537,98.863,76.015,2430.83,132.567,123.509,34.439,3268.305,37815.758,138.389,71.642,164.055,21999.176,2099.186,0.0,16832.321,240.856,55.671
CZ0201,52701,77515,495,298,466,3827,2805,0,62,1160,92,85,0,2567,14089,90,61,133,9204,2002,0,14931,334,0,205.205,118.512,200.332,1536.408,1177.09,0.0,21.176,455.018,43.373,33.601,0.0,1016.952,5717.955,35.631,25.056,60.915,3644.843,855.213,0.0,6115.183,137.517,0.0
CZ0202,44584,64983,406,211,453,3213,1988,0,29,1178,100,52,0,2601,13454,69,50,101,7891,1848,0,10640,300,0,116.812,63.14,126.038,921.542,552.891,0.0,7.697,317.913,24.071,15.005,0.0,691.542,3520.32,17.965,14.179,27.969,2112.774,487.205,0.0,2802.579,80.334,0.0
CZ0203,79168,126403,835,533,703,7606,3376,0,102,2068,155,130,0,4033,20467,126,88,160,13481,3382,0,21550,373,0,227.282,147.521,220.011,2199.704,918.329,0.0,32.14,544.085,41.997,29.807,0.0,1061.632,5245.524,34.896,19.304,47.727000000000004,3415.677,964.531,0.0,5928.743,121.05,0.0
CZ0204,51239,77640,335,214,560,4514,2350,0,61,1187,100,64,0,2065,10788,71,59,112,12800,2084,0,13625,250,0,100.622,75.381,201.882,1541.93,801.491,0.0,21.237,402.788,34.084,24.55,0.0,700.2,3450.64,24.355,20.182,41.052,3844.954,723.388,0.0,4603.284,87.964,0.0
CZ0205,38862,59929,284,182,321,3362,2515,0,82,770,75,77,0,1720,8180,64,38,77,7575,1679,0,11645,216,0,116.249,80.192,130.916,1465.1,1073.734,0.0,45.132,336.286,36.304,43.565,0.0,677.891,3228.821,26.333,18.605999999999998,45.024,2980.817,745.06,0.0,5056.24,93.738,0.0
CZ0206,50903,79903,538,248,474,4644,2319,0,65,1464,107,81,0,2401,13880,80,61,100,8695,1846,0,13631,269,0,157.003,69.502,134.854,1392.44,644.478,0.0,19.008,407.276,36.087,21.61,0.0,668.036,3713.753,26.934,19.472,31.993,2366.67,576.735,0.0,3929.855,84.28999999999999,0.0
CZ0207,62655,93451,774,347,744,5911,3384,0,68,1696,256,88,0,2618,16049,88,70,94,11072,2200,0,16762,434,0,264.029,121.605,279.643,2249.579,1244.614,0.0,25.777,603.83,88.467,24.176000000000002,0.0,940.72,5380.55,37.999,32.85,33.633,3838.302,818.652,0.0,5954.649,160.89600000000002,0.0
CZ0208,49338,74044,505,256,522,4121,2392,0,82,1236,113,84,0,2219,13002,69,43,99,9798,1593,0,12869,335,0,154.152,73.496,174.179,1388.552,830.298,0.0,22.093,387.342,41.418,33.723,0.0,713.666,3747.626,29.129,15.117,29.319,2822.969,575.563,0.0,4330.644,130.687,0.0
CZ0209,78683,107930,658,369,682,4687,2684,0,76,2188,142,133,0,3078,29633,135,71,137,16564,1587,0,15482,377,0,138.177,85.503,144.269,1025.293,567.708,0.0,15.53,458.959,36.928,26.867,0.0,667.683,5813.38,28.453,15.228,30.434,3275.645,356.492,0.0,3328.771,84.657,0.0
CZ020A,56121,75854,570,226,399,2970,1816,0,48,1564,68,57,0,2124,21363,80,61,112,13149,1176,0,10126,212,0,108.146,48.01,85.385,573.604,352.983,0.0,10.05,291.485,13.218,14.065,0.0,417.316,3860.541,16.637,12.941,23.972,2353.588,230.117,0.0,1942.234,45.701,0.0
CZ020B,59249,89186,649,330,624,4572,3124,0,75,1383,89,90,0,3317,15725,109,60,112,10178,2520,0,15904,388,0,248.335,134.628,225.099,1789.286,1216.35,0.0,24.382,511.817,38.893,36.449,0.0,1244.228,5792.601,41.031,21.067,50.617,3672.92,1035.804,0.0,6063.929,152.539,0.0
CZ020C,27471,43079,265,131,244,2593,1562,0,26,672,56,44,0,1462,5811,33,37,78,4493,1493,0,8324,147,0,103.176,63.144,94.011,1160.224,697.519,0.0,12.758000000000001,311.162,20.421,15.624,0.0,587.756,2322.759,11.291,15.469,36.971000000000004,1782.328,738.722,0.0,3763.931,62.716,0.0
CZ0311,102243,151140,1007,316,1212,8756,4905,0,120,3853,330,253,0,4542,31833,0,165,174,15149,4180,0,24924,434,90,300.61,111.937,400.525,2766.865,1579.805,0.0,36.274,1189.782,94.545,86.029,0.0,1312.721,8992.072,0.0,51.295,50.265,4149.92,1431.295,0.0,7640.3,174.202,31.562
CZ0312,29167,46368,375,112,378,3055,1480,0,33,937,59,54,0,1272,8032,0,43,46,3808,1314,0,7960,170,39,104.881,31.006,99.58800000000001,843.184,378.076,0.0,7.863,257.565,17.145,17.004,0.0,344.819,2187.647,0.0,11.706,13.086,978.979,331.302,0.0,2123.1,43.007,10.082
CZ0313,47196,71676,441,116,526,4429,2711,0,65,1783,84,52,0,2288,12276,0,60,86,6147,2398,0,13466,191,77,183.349,45.664,251.023,2044.258,1174.657,0.0,25.226,812.076,38.143,25.147,0.0,1059.678,5308.906,0.0,19.76,45.371,2578.939,1146.164,0.0,6095.737,93.19,52.699
CZ0314,36780,56679,349,107,352,3260,2385,0,35,1210,171,61,0,1600,10989,0,61,67,4564,1725,0,9653,152,39,142.16,39.46,163.294,1408.136,924.168,0.0,10.741,547.311,72.58500000000001,23.205,0.0,651.103,4178.795,0.0,28.198,25.968,1756.33,753.486,0.0,3894.455,68.449,12.156
CZ0315,25691,40891,230,67,376,2507,1381,0,30,835,51,53,0,1095,7313,0,57,60,3380,1181,0,6933,111,31,122.223,30.525,158.753,1090.2069999999999,546.919,0.0,17.132,394.214,31.872,18.481,0.0,469.187,3065.987,0.0,27.409000000000002,29.206,1383.3029999999999,530.092,0.0,2923.427,50.064,11.008000000000001
CZ0316,36253,55671,364,120,362,3488,2096,0,43,1098,139,63,0,1554,10107,0,62,73,4239,1561,0,10677,162,45,204.203,78.319,171.68,2007.597,1102.573,0.0,33.151,610.162,79.244,45.099000000000004,0.0,748.991,5352.243,0.0,39.129,37.151,2189.972,953.511,0.0,5726.39,96.755,23.828
CZ0317,54736,81797,536,187,494,4375,3180,0,152,1590,99,67,0,2612,15928,0,75,129,7557,2450,0,14993,252,60,188.511,75.94,189.176,1706.066,1247.852,0.0,51.291,615.646,42.247,23.185,0.0,1024.466,5884.633,0.0,26.61,60.451,2663.357,1015.378,0.0,5764.894,94.528,25.78
CZ0321,26843,42641,192,88,317,3250,1715,0,19,614,131,85,0,1041,6859,39,32,49,3172,1247,0,7825,168,0,97.977,45.675,156.372,1590.939,877.976,0.0,6.112,279.674,63.338,42.33,0.0,479.07099999999997,2962.926,20.232,16.476,25.071,1427.007,543.465,0.0,3683.044,82.30799999999999,0.0
CZ0322,44726,67850,417,139,602,4561,2359,0,44,957,109,82,0,2244,11436,64,45,102,5690,1846,0,13811,218,0,225.97299999999998,62.921,314.608,2545.661,1223.921,0.0,24.88,550.515,52.111,43.928000000000004,0.0,1111.067,5349.506,36.218,17.014,50.706,2819.713,1028.044,0.0,7328.451,114.762,0.0
CZ0323,91329,140720,863,255,1035,7328,4166,0,64,2557,229,216,0,3972,28420,141,77,245,14970,2838,0,23673,280,0,204.262,57.197,231.92,1708.897,972.299,0.0,14.768,581.663,55.202999999999996,53.521,0.0,913.456,6269.594,36.438,18.094,56.736,3420.567,676.942,0.0,5463.546,64.875,0.0
CZ0324,35332,54490,353,112,487,3900,1852,0,47,907,125,59,0,1943,8552,64,41,119,4367,1654,0,10563,187,0,182.619,52.608,273.946,2221.815,1084.894,0.0,26.428,456.374,73.892,37.574999999999996,0.0,1058.018,4189.431,42.922,28.099,59.497,2106.599,999.12,0.0,6092.375,113.793,0.0
CZ0325,41424,63676,448,122,498,4284,1973,0,63,1018,140,94,0,2040,11003,73,56,107,5660,1691,0,11915,239,0,156.432,40.651,190.415,1539.092,757.056,0.0,37.299,334.336,56.852,33.309,0.0,726.993,3626.863,21.897,24.915,30.773,1844.837,671.925,0.0,4522.512,83.853,0.0
CZ0326,25018,38325,264,66,289,2492,1170,0,41,651,67,43,0,1327,6030,78,25,60,3152,1202,0,7929,132,0,103.484,21.969,96.663,951.128,484.645,0.0,11.025,244.183,27.074,19.495,0.0,521.786,2396.994,30.927,8.69,30.143,1286.783,509.081,0.0,3297.3559999999998,58.573,0.0
CZ0327,23093,39988,347,70,413,2911,1142,0,21,472,50,43,0,1043,4052,34,17,53,2874,1471,0,7944,136,0,131.176,33.334,134.643,1184.839,396.183,0.0,11.271,154.613,21.767,17.757,0.0,389.378,1352.604,16.968,8.113,14.902000000000001,1012.451,574.668,0.0,2897.917,47.419000000000004,0.0
CZ0411,37175,67082,500,167,640,4607,1414,0,43,984,126,66,0,1646,7408,0,61,67,5375,1520,0,12349,202,0,144.039,50.058,185.561,1390.141,382.164,0.0,11.61,304.928,36.54,21.989,0.0,457.38,2137.611,0.0,16.566,19.348,1508.748,459.10699999999997,0.0,3707.504,66.69500000000001,0.0
CZ0412,51620,86924,494,223,762,5877,1851,0,53,1428,237,84,0,2586,11884,0,95,77,7724,1600,0,16188,457,0,142.649,68.903,222.136,1646.72,482.93,0.0,17.693,389.985,57.886,20.667,0.0,689.325,3128.669,0.0,27.698,22.805,2008.57,442.515,0.0,4301.434,129.404,0.0
CZ0413,37697,70667,425,137,579,5741,1503,0,33,1076,165,46,0,2038,6231,0,64,63,4866,1175,0,13292,263,0,105.724,32.497,146.671,1453.111,362.074,0.0,7.594,248.189,37.646,13.84,0.0,498.599,1467.642,0.0,14.482,13.901,1168.133,301.45799999999997,0.0,3257.634,70.811,0.0
