NUTS,SOUCET_HLASU,ZAPSANI_VOLICI,Strana zelených_votes,Švýcarská demokracie_votes,VOLNÝ blok_votes,Svoboda a př. demokracie (SPD)_votes,Česká str.sociálně demokrat._votes,Volte Pr.Blok www.cibulka.net_votes,ALIANCE NÁRODNÍCH SIL_votes,Trikolora Svobodní Soukromníci_votes,Aliance pro budoucnost_votes,Hnutí Prameny_votes,Levice_votes,PŘÍSAHA Roberta Šlachty_votes,"SPOLU – ODS, KDU-ČSL, TOP 09_votes",SENIOŘI 21_votes,Urza.cz: Nechceme vaše hlasy_votes,Koruna Česká (monarch.strana)_votes,PIRÁTI a STAROSTOVÉ_votes,Komunistická str.Čech a Moravy_votes,Moravské zemské hnutí_votes,ANO 2011_votes,Otevřeme ČR normálnímu životu_votes,Moravané_votes,Strana zelených_perc,Švýcarská demokracie_perc,VOLNÝ blok_perc,Svoboda a př. demokracie (SPD)_perc,Česká str.sociálně demokrat._perc,Volte Pr.Blok www.cibulka.net_perc,ALIANCE NÁRODNÍCH SIL_perc,Trikolora Svobodní Soukromníci_perc,Aliance pro budoucnost_perc,Hnutí Prameny_perc,Levice_perc,PŘÍSAHA Roberta Šlachty_perc,"SPOLU – ODS, KDU-ČSL, TOP 09_perc",SENIOŘI 21_perc,Urza.cz: Nechceme vaše hlasy_perc,Koruna Česká (monarch.strana)_perc,PIRÁTI a STAROSTOVÉ_perc,Komunistická str.Čech a Moravy_perc,Moravské zemské hnutí_perc,ANO 2011_perc,Otevřeme ČR normálnímu životu_perc,Moravané_perc
CZ010,359013,522589,3515,926,2756,16661,14464,340,288,9313,517,472,131,12597,142291,488,261,620,81090,7918,0,63261,900,204,697.322,182.909,532.769,3214.993,2840.182,74.906,54.918,1798.216,99.768,90.599,24.727999999999998,2411.177,27554.969,100.748,49.419,121.119,16035.297,1547.455,0.0,12252.899,174.429,41.142
CZ0201,46403,68345,433,265,412,3405,2471,0,57,1020,70,74,0,2257,12341,77,50,118,8055,1774,0,13230,294,0,188.63,110.56099999999999,184.943,1436.663,1093.591,0.0,20.058,416.401,38.809,30.958,0.0,942.688,5306.526,32.415,22.146,57.677,3380.213,795.074,0.0,5714.352,128.277,0.0
CZ0202,37153,53631,335,173,370,2741,1708,0,25,957,82,42,0,2272,10899,55,42,82,6473,1606,0,9024,267,0,104.999,55.333,110.83,838.0,506.535,0.0,7.186,278.029,20.974,11.488,0.0,637.464,3075.926,15.648,12.554,25.058,1862.087,444.82099999999997,0.0,2518.501,74.534,0.0
CZ0203,60427,94353,640,411,505,5885,2580,0,76,1540,112,82,0,3140,15436,100,65,122,10137,2594,0,16699,303,0,194.606,128.785,178.964,1907.869,789.846,0.0,27.743,457.422,35.025,21.876,0.0,917.33,4425.17,30.746,15.545,41.55,2862.931,838.112,0.0,5115.79,110.663,0.0
CZ0204,47734,72621,303,204,508,4261,2183,0,55,1113,94,59,0,1931,9866,66,56,109,11917,1968,0,12815,226,0,94.851,73.364,192.641,1491.669,768.05,0.0,20.375,390.946,33.075,23.533,0.0,673.298,3276.225,23.582,19.564,40.556,3658.481,696.493,0.0,4440.1720000000005,83.109,0.0
CZ0205,36161,55828,268,170,299,3130,2362,0,73,719,71,76,0,1610,7578,59,35,71,7059,1566,0,10808,207,0,112.348,78.261,126.421,1419.757,1039.617,0.0,43.663000000000004,328.184,35.669,43.427,0.0,653.837,3129.102,25.737,17.032,44.03,2896.896,722.175,0.0,4891.515,92.33500000000001,0.0
CZ0206,43684,67158,469,217,397,3995,2020,0,57,1246,96,68,0,2066,11824,64,51,91,7528,1602,0,11672,221,0,144.819,63.781,122.489,1284.568,592.683,0.0,17.616,369.402,34.017,19.444,0.0,613.361,3377.246,24.205,17.873,30.658,2169.29,535.184,0.0,3607.913,75.451,0.0
CZ0207,53499,80292,670,294,625,5099,2910,0,57,1452,217,68,0,2261,13594,71,63,81,9429,1885,0,14352,371,0,246.131,112.747,233.772,2068.971,1149.267,0.0,24.454,556.58,80.318,20.786,0.0,867.645,4927.739,33.707,31.784,31.225,3524.225,761.585,0.0,5481.135,147.907,0.0
CZ0208,42893,63456,440,231,453,3555,2078,0,77,1062,99,74,0,1862,11295,64,37,86,8619,1398,0,11170,293,0,144.219,69.597,163.227,1301.066,780.114,0.0,21.402,361.546,39.508,32.092,0.0,658.563,3478.829,28.339,14.322000000000001,27.363,2642.285,545.493,0.0,4067.845,124.16,0.0
CZ0209,58783,81245,491,278,540,3579,2048,0,54,1628,110,100,0,2361,21523,97,59,105,12365,1253,0,11885,307,0,114.632,72.904,124.598,877.94,486.3,0.0,12.415,384.248,32.689,21.436,0.0,572.421,4780.55,22.892,13.448,25.844,2719.37,308.071,0.0,2855.47,74.753,0.0
CZ020A,36316,49277,406,171,276,1994,1257,0,36,959,48,41,0,1425,13458,55,44,82,8448,776,0,6695,145,0,89.212,41.575,69.852,457.985,287.228,0.0,8.743,223.391,10.901,12.302999999999999,0.0,336.555,2949.733,13.145,10.768,20.546,1816.823,181.939,0.0,1531.992,37.309,0.0
CZ020B,52675,78642,572,296,552,4102,2778,0,59,1208,85,80,0,2973,13778,87,49,104,8961,2306,0,14329,356,0,236.014,129.645,213.595,1683.789,1151.129,0.0,21.658,479.199,38.285,34.988,0.0,1184.879,5438.809,37.8,19.601,49.476,3452.699,999.126,0.0,5781.981,147.304,0.0
CZ020C,25791,40471,254,127,221,2439,1443,0,24,627,53,43,0,1358,5424,30,32,73,4207,1435,0,7866,135,0,101.359,62.396,89.969,1134.373,674.729,0.0,12.435,302.976,19.835,15.463000000000001,0.0,568.937,2252.164,10.705,14.6,35.919000000000004,1731.592,727.169,0.0,3684.605,60.758,0.0
CZ0311,90928,132702,889,285,1066,7841,4432,0,108,3437,283,217,0,4082,27793,0,145,153,13406,3820,0,22501,391,79,284.37,107.357,381.352,2639.651,1515.508,0.0,34.588,1133.058,88.533,81.273,0.0,1250.1779999999999,8475.239,0.0,48.519,47.215,3926.2690000000002,1380.761,0.0,7307.627,168.445,30.054000000000002
CZ0312,25712,40979,340,101,332,2696,1283,0,30,818,54,51,0,1150,7044,0,41,39,3299,1162,0,7079,156,37,99.743,29.45,92.999,790.335,349.422,0.0,7.431,240.34,16.443,16.581,0.0,327.637,2046.313,0.0,11.385,11.935,906.606,308.603,0.0,1994.193,40.824,9.791
CZ0313,44567,67646,407,105,495,4181,2561,0,61,1705,78,50,0,2157,11561,0,58,83,5784,2263,0,12762,184,72,175.818,43.593,244.333,1985.384,1140.3220000000001,0.0,24.136,794.104,36.69,24.508,0.0,1028.874,5148.137,0.0,19.419,44.821,2501.393,1114.632,0.0,5930.851,91.794,51.181
