NUTS,SOUCET_HLASU,ZAPSANI_VOLICI,Strana zelených_votes,Švýcarská demokracie_votes,VOLNÝ blok_votes,Svoboda a př. demokracie (SPD)_votes,Česká str.sociálně demokrat._votes,Volte Pr.Blok www.cibulka.net_votes,ALIANCE NÁRODNÍCH SIL_votes,Trikolora Svobodní Soukromníci_votes,Aliance pro budoucnost_votes,Hnutí Prameny_votes,Levice_votes,PŘÍSAHA Roberta Šlachty_votes,"SPOLU – ODS, KDU-ČSL, TOP 09_votes",SENIOŘI 21_votes,Urza.cz: Nechceme vaše hlasy_votes,Koruna Česká (monarch.strana)_votes,PIRÁTI a STAROSTOVÉ_votes,Komunistická str.Čech a Moravy_votes,Moravské zemské hnutí_votes,ANO 2011_votes,Otevřeme ČR normálnímu životu_votes,Moravané_votes,Strana zelených_perc,Švýcarská demokracie_perc,VOLNÝ blok_perc,Svoboda a př. demokracie (SPD)_perc,Česká str.sociálně demokrat._perc,Volte Pr.Blok www.cibulka.net_perc,ALIANCE NÁRODNÍCH SIL_perc,Trikolora Svobodní Soukromníci_perc,Aliance pro budoucnost_perc,Hnutí Prameny_perc,Levice_perc,PŘÍSAHA Roberta Šlachty_perc,"SPOLU – ODS, KDU-ČSL, TOP 09_perc",SENIOŘI 21_perc,Urza.cz: Nechceme vaše hlasy_perc,Koruna Česká (monarch.strana)_perc,PIRÁTI a STAROSTOVÉ_perc,Komunistická str.Čech a Moravy_perc,Moravské zemské hnutí_perc,ANO 2011_perc,Otevřeme ČR normálnímu životu_perc,Moravané_perc
CZ010,9568,14503,112,23,75,412,383,13,6,274,11,13,1,265,3908,10,13,14,2353,166,0,1493,19,4,40.54,9.692,24.896,134.083,143.51500000000001,9.438,3.0429999999999997,88.184,4.306,4.223,0.188,82.349,1284.826,7.047,3.621,4.553,769.302,61.118,0.0,512.976,7.984,4.111
CZ0201,11718,17284,118,67,93,886,686,0,10,250,19,17,0,588,3045,20,17,26,1894,468,0,3421,93,0,82.531,52.653,67.096,624.759,518.837,0.0,6.557,171.264,14.858,11.839,0.0,388.702,2251.056,13.766,11.952,22.291,1358.557,356.289,0.0,2492.672,54.309,0.0
CZ0202,4771,6797,50,27,50,389,223,0,5,134,7,6,0,352,1311,5,4,14,759,218,0,1179,38,0,34.456,17.332,32.714,252.167,151.277,0.0,2.7729999999999997,83.34100000000001,4.345,3.602,0.0,197.752,830.302,1.691,3.308,6.906000000000001,512.193,115.198,0.0,727.87,22.755,0.0
CZ0203,14438,22777,170,91,153,1525,714,0,17,342,26,13,0,768,3493,25,15,36,2293,619,0,4052,86,0,79.044,45.766999999999996,85.303,774.433,321.675,0.0,9.591,165.748,11.071,5.551,0.0,341.846,1551.527,11.958,4.485,21.347,985.833,312.608,0.0,1917.315,54.882,0.0
CZ0204,14768,22092,90,57,189,1332,725,0,21,340,25,18,0,636,2964,18,15,44,3346,661,0,4221,66,0,47.519,39.794,115.187,793.933,431.117,0.0,11.098,207.733,16.84,12.582,0.0,378.984,1648.272,12.236,7.779,25.012,1780.019,377.754,0.0,2451.236,42.888,0.0
CZ0205,10448,16070,75,51,87,895,675,0,24,228,14,23,0,431,2086,18,15,25,2032,486,0,3228,55,0,56.111,40.735,61.457,715.328,559.272,0.0,29.72,175.65800000000002,16.556,24.54,0.0,306.466,1506.413,12.793,11.289,31.039,1472.122,371.454,0.0,2561.302,47.76,0.0
CZ0206,6922,10783,70,39,64,668,304,0,7,199,19,7,0,358,1725,9,5,20,1092,321,0,1979,36,0,50.891,22.425,38.686,459.373,174.799,0.0,5.507,109.468,15.072000000000001,4.115,0.0,218.518,1003.679,8.439,5.407,11.985,622.484,213.388,0.0,1213.211,22.548,0.0
CZ0207,13423,19701,160,91,134,1370,731,0,19,360,53,15,0,528,3261,13,19,16,2537,458,0,3542,116,0,96.651,50.569,81.585,896.756,472.091,0.0,12.664,226.096,28.855,8.233,0.0,335.536,2061.993,13.931,18.272,11.438,1507.123,302.491,0.0,2205.73,69.988,0.0
CZ0208,8859,12785,99,48,105,782,520,0,9,233,19,16,0,431,2023,15,11,20,1488,340,0,2624,76,0,65.436,29.367,79.804,577.15,373.489,0.0,5.161,148.576,12.564,18.608,0.0,282.573,1322.731,16.53,8.121,12.165000000000001,970.516,265.145,0.0,1849.868,62.179,0.0
CZ0209,4476,6309,38,31,43,314,160,0,4,117,13,2,0,201,1620,7,4,11,839,108,0,938,26,0,24.829,22.461000000000002,27.858,228.596,114.428,0.0,2.123,80.016,11.39,2.472,0.0,138.504,949.758,4.333,1.505,6.454,536.936,79.527,0.0,648.087,20.714,0.0
