NUTS,SOUCET_HLASU,ZAPSANI_VOLICI,Strana zelených_votes,Švýcarská demokracie_votes,VOLNÝ blok_votes,Svoboda a př. demokracie (SPD)_votes,Česká str.sociálně demokrat._votes,Volte Pr.Blok www.cibulka.net_votes,ALIANCE NÁRODNÍCH SIL_votes,Trikolora Svobodní Soukromníci_votes,Aliance pro budoucnost_votes,Hnutí Prameny_votes,Levice_votes,PŘÍSAHA Roberta Šlachty_votes,"SPOLU – ODS, KDU-ČSL, TOP 09_votes",SENIOŘI 21_votes,Urza.cz: Nechceme vaše hlasy_votes,Koruna Česká (monarch.strana)_votes,PIRÁTI a STAROSTOVÉ_votes,Komunistická str.Čech a Moravy_votes,Moravské zemské hnutí_votes,ANO 2011_votes,Otevřeme ČR normálnímu životu_votes,Moravané_votes,Strana zelených_perc,Švýcarská demokracie_perc,VOLNÝ blok_perc,Svoboda a př. demokracie (SPD)_perc,Česká str.sociálně demokrat._perc,Volte Pr.Blok www.cibulka.net_perc,ALIANCE NÁRODNÍCH SIL_perc,Trikolora Svobodní Soukromníci_perc,Aliance pro budoucnost_perc,Hnutí Prameny_perc,Levice_perc,PŘÍSAHA Roberta Šlachty_perc,"SPOLU – ODS, KDU-ČSL, TOP 09_perc",SENIOŘI 21_perc,Urza.cz: Nechceme vaše hlasy_perc,Koruna Česká (monarch.strana)_perc,PIRÁTI a STAROSTOVÉ_perc,Komunistická str.Čech a Moravy_perc,Moravské zemské hnutí_perc,ANO 2011_perc,Otevřeme ČR normálnímu životu_perc,Moravané_perc
CZ010,23715,36714,257,55,195,1057,1000,25,19,651,26,34,3,767,9446,34,19,35,5559,475,0,3992,49,17,72.141,17.084,52.571999999999996,278.426,279.284,12.532,5.697,173.585,7.4959999999999996,8.669,0.692,193.346,2549.241,12.305,4.958,9.499,1508.114,126.678,0.0,1064.88,15.899,6.889
CZ0201,15540,22833,161,81,120,1118,896,0,12,326,25,19,0,762,4128,25,18,35,2608,629,0,4464,113,0,103.796,58.096,80.758,750.136,624.933,0.0,7.063,212.523,21.444,12.396,0.0,477.921,2848.949,15.597,12.349,25.823999999999998,1715.659,435.98,0.0,3033.865,62.702,0.0
CZ0202,6141,9125,68,35,70,512,284,0,7,162,9,6,0,418,1744,6,5,19,992,281,0,1478,45,0,42.783,20.087,41.405,307.848,180.969,0.0,3.485,94.032,5.388,3.602,0.0,223.782,1024.173,2.232,4.193,9.631,616.591,142.662,0.0,851.242,25.878,0.0
CZ0203,21220,33482,239,145,228,2218,969,0,22,564,42,21,0,1106,5271,37,25,52,3404,932,0,5829,116,0,101.636,62.689,108.653,1004.56,412.26099999999997,0.0,10.727,238.087,18.01,8.609,0.0,450.065,2126.873,15.312,7.072,24.923000000000002,1332.204,412.93,0.0,2500.182,65.19,0.0
CZ0204,19646,29563,126,75,238,1759,930,0,29,449,41,20,0,809,4095,26,22,59,4534,867,0,5476,91,0,59.584,44.326,131.062,939.639,497.739,0.0,14.805,244.57,21.775,13.313,0.0,434.54,2023.863,15.244,11.040000000000001,30.647,2145.566,450.774,0.0,2868.121,53.364,0.0
CZ0205,15486,23921,118,67,132,1292,970,0,39,317,22,34,0,652,3212,24,21,34,2961,696,0,4819,76,0,74.461,47.433,79.862,902.4639999999999,684.025,0.0,34.49,226.213,21.938,32.341,0.0,408.71,2025.845,16.94,13.229,33.791000000000004,1883.1589999999999,475.055,0.0,3284.355,55.704,0.0
CZ0206,10842,17035,118,60,102,1072,473,0,12,323,28,16,0,542,2740,17,17,30,1719,452,0,3062,59,0,67.41799999999999,28.438000000000002,50.841,599.113,225.471,0.0,6.708,150.66,17.958000000000002,7.316,0.0,276.663,1335.74,10.5,9.636000000000001,16.033,824.894,259.923,0.0,1582.286,30.398999999999997,0.0
CZ0207,16401,24003,205,112,177,1652,903,0,23,463,63,22,0,656,3924,18,19,20,3051,561,0,4393,139,0,119.346,61.559,104.488,1064.421,572.664,0.0,14.409,282.139,36.332,11.128,0.0,409.207,2381.68,15.866,18.272,13.89,1790.455,357.168,0.0,2665.151,81.816,0.0
CZ0208,13290,19253,135,67,147,1237,745,0,15,359,33,23,0,615,3060,22,13,26,2315,504,0,3857,117,0,78.069,35.54,97.208,779.339,477.627,0.0,7.929,209.435,23.374,20.79,0.0,380.242,1728.717,18.591,9.66,13.813,1302.613,335.784,0.0,2400.254,80.99,0.0
CZ0209,7821,10973,81,48,75,533,286,0,6,223,21,3,0,355,2662,17,6,18,1513,232,0,1704,38,0,39.863,28.167,40.948,303.986,152.388,0.0,3.477,125.987,14.766,3.053,0.0,194.5,1327.219,7.728,3.525,9.364,780.216,120.365,0.0,920.252,24.186999999999998,0.0
CZ020A,4098,5520,41,27,42,239,147,0,2,121,8,4,0,182,1458,3,5,12,905,99,0,786,17,0,17.801,14.89,20.663999999999998,106.151,66.73,0.0,0.784,55.411,2.832,2.136,0.0,82.5,627.489,2.4939999999999998,3.2680000000000002,6.348999999999999,393.89,42.597,0.0,344.042,9.978,0.0
CZ020B,19476,28383,228,101,163,1497,1071,0,19,441,38,26,0,1106,5187,36,23,47,3272,859,0,5216,146,0,148.355,75.772,105.749,965.551,697.493,0.0,10.182,273.647,27.341,19.994,0.0,678.439,3186.881,24.528,13.229,32.734,1950.932,593.491,0.0,3307.557,88.113,0.0
CZ020C,10122,15672,94,57,93,981,559,0,11,247,16,21,0,524,2009,13,12,30,1521,562,0,3323,49,0,59.641,34.919,56.965,656.449,419.679,0.0,7.256,188.465,9.876000000000001,9.676,0.0,319.14300000000003,1322.155,6.658,9.902000000000001,23.674,994.996,449.22,0.0,2296.879,34.433,0.0
CZ0311,31504,46537,306,100,372,2834,1533,0,37,1261,89,80,0,1386,9299,0,49,44,4502,1411,0,8011,161,29,149.973,64.135,206.862,1499.766,836.319,0.0,19.397000000000002,634.686,43.186,41.593,0.0,666.587,4452.889,0.0,24.625,23.070999999999998,2017.618,803.449,0.0,4081.471,115.89,18.471
CZ0312,4682,7429,67,14,44,593,221,0,3,145,12,13,0,207,1187,0,5,9,528,235,0,1374,19,6,35.116,7.193,27.287,299.20799999999997,104.322,0.0,1.0619999999999998,78.565,6.539000000000001,5.2250000000000005,0.0,101.479,653.19,0.0,2.6830000000000003,4.681,252.761,108.757,0.0,700.6949999999999,8.178,3.074
CZ0313,17791,26854,162,44,196,1764,1058,0,16,728,34,19,0,881,4280,0,20,31,2262,893,0,5281,86,36,112.94,26.069,150.302,1246.667,717.821,0.0,10.823,508.605,22.078,15.492,0.0,643.249,3054.726,0.0,9.391,28.701,1529.407,669.929,0.0,3752.734,63.392,37.663000000000004
CZ0314,11211,16740,107,28,111,1064,763,0,6,405,48,23,0,492,3097,0,20,14,1362,606,0,2992,60,13,84.318,19.873,104.623,847.465,558.475,0.0,5.598,337.979,37.573,13.826,0.0,387.366,2300.778,0.0,16.512,10.121,1004.103,464.349,0.0,2257.097,43.648,6.306
CZ0315,9802,14969,110,25,154,991,540,0,11,327,26,19,0,427,2663,0,27,19,1218,501,0,2678,54,12,100.226,17.412,109.04299999999999,761.747,383.588,0.0,13.427000000000001,281.712,25.349,11.35,0.0,327.246,2095.733,0.0,18.938,14.921,932.389,372.853,0.0,1989.856,38.292,5.929
CZ0316,14233,22042,139,55,155,1457,787,0,18,432,60,28,0,556,3915,0,29,31,1638,697,0,4136,81,19,140.068,61.573,125.295,1431.577,776.993,0.0,21.908,431.265,58.543,29.631,0.0,477.927,3749.687,0.0,31.893,27.411,1504.715,709.308,0.0,3930.729,74.565,16.902
CZ0317,21821,32242,202,74,214,1797,1326,0,50,630,44,21,0,1086,5967,0,33,56,2795,1104,0,6297,105,20,112.907,49.326,122.56,1099.49,804.281,0.0,27.157,382.528,30.39,12.462,0.0,672.829,3575.373,0.0,17.439,40.241,1573.065,686.525,0.0,3717.967,60.123,15.333
CZ0321,17215,27296,139,51,192,2115,1117,0,6,387,86,52,0,659,4408,24,22,25,1990,763,0,5072,107,0,84.708,37.499,123.531,1321.669,743.052,0.0,3.614,228.001,52.024,34.672,0.0,383.355,2406.638,16.454,12.954,16.53,1139.569,432.209,0.0,2995.612,67.904,0.0
CZ0322,15862,23468,149,42,233,1773,841,0,15,398,32,32,0,747,3892,17,11,36,1918,688,0,4954,84,0,134.647,35.305,213.74,1692.491,767.129,0.0,12.747,387.354,29.259,27.437,0.0,677.849,3286.381,18.470000000000002,9.18,34.897,1756.484,657.221,0.0,4684.589,74.833,0.0
CZ0323,41678,66925,389,103,468,3529,2043,0,36,1076,125,87,0,1835,12197,67,34,112,6815,1445,0,11201,116,0,115.618,30.047,130.086,1014.78,575.463,0.0,9.475999999999999,310.031,35.556,28.936,0.0,529.465,3468.978,21.509999999999998,9.807,32.117,1975.748,407.566,0.0,3170.264,34.531,0.0
CZ0324,15148,22913,126,51,220,1698,867,0,18,351,50,30,0,833,3420,39,22,48,1757,746,0,4769,103,0,121.938,35.014,205.678,1616.328,820.816,0.0,17.695,290.284,51.308,30.892,0.0,745.711,2945.327,34.942,18.665,36.859,1447.112,711.629,0.0,4479.279,90.53,0.0
CZ0325,15584,24202,166,46,171,1587,859,0,29,351,56,31,0,787,3925,26,19,37,2002,722,0,4673,97,0,97.338,23.951,117.617,934.953,504.214,0.0,30.095,197.984,38.371,20.671,0.0,464.633,2208.569,12.183,15.044,17.634,1074.961,440.178,0.0,2849.017,52.598,0.0
CZ0326,13914,21615,151,33,148,1322,618,0,25,342,38,25,0,730,3347,34,14,36,1745,703,0,4520,83,0,78.878,15.748000000000001,67.079,696.093,373.506,0.0,8.288,174.362,20.157,15.004,0.0,397.904,1813.637,22.519000000000002,6.449,24.66,968.672,398.001,0.0,2571.145,47.905,0.0
CZ0327,8417,14889,114,33,124,1109,433,0,5,158,25,18,0,380,1379,10,9,16,1064,565,0,2928,47,0,82.817,23.376,65.827,737.674,232.641,0.0,4.749,81.984,16.837,12.104,0.0,237.144,756.35,9.977,6.468999999999999,7.081,606.161,351.963,0.0,1739.377,27.468,0.0
CZ0411,7849,13617,124,31,123,1116,257,0,9,215,40,13,0,318,1490,0,7,12,1027,332,0,2680,55,0,56.277,17.906,68.916,579.132,116.586,0.0,4.643,124.166,15.718,9.512,0.0,149.403,755.659,0.0,4.3549999999999995,5.269,502.004,188.672,0.0,1469.288,32.482,0.0
CZ0412,10358,19275,104,48,203,1325,339,0,16,297,54,15,0,509,2310,0,21,19,1304,345,0,3358,91,0,47.68,28.648,91.791,598.423,140.496,0.0,7.624,129.374,16.851,4.949,0.0,211.014,908.894,0.0,8.968,8.741,514.716,151.406,0.0,1393.362,37.046,0.0
CZ0413,9871,18382,112,29,144,1586,410,0,7,275,37,14,0,507,1526,0,18,17,1234,331,0,3553,71,0,40.925,9.687999999999999,53.076,573.824,139.05,0.0,2.2720000000000002,88.049,12.696,7.7,0.0,187.816,538.799,0.0,5.632,5.125,443.371,124.257,0.0,1240.771,26.939,0.0
CZ0421,10270,18369,109,28,189,1399,359,0,12,363,49,15,0,433,1729,0,26,14,1326,385,0,3759,75,0,44.166,12.669,97.377,622.945,155.251,0.0,6.514,161.998,21.26,6.325,0.0,194.196,763.574,0.0,10.961,6.525,599.152,173.45,0.0,1687.582,36.057,0.0
CZ0422,12377,23769,155,44,159,1483,380,0,17,367,26,16,0,599,2354,0,27,9,1451,551,0,4655,84,0,45.916000000000004,14.446,43.309,471.39,117.089,0.0,3.482,105.37,6.222,5.748,0.0,184.711,698.673,0.0,10.577,3.111,432.935,185.96699999999998,0.0,1444.364,26.69,0.0
CZ0423,20355,31754,275,58,263,2233,700,0,26,608,57,41,0,905,4223,0,27,25,2832,955,0,6959,168,0,138.06,27.356,142.872,1241.342,366.872,0.0,20.47,326.078,27.61,22.142,0.0,491.653,2185.434,0.0,15.919,14.697000000000001,1479.443,551.053,0.0,3748.709,100.3,0.0
CZ0424,15954,26535,187,33,208,2100,604,0,15,369,36,23,0,721,2838,0,36,23,1529,749,0,6386,97,0,93.475,14.851,127.536,1383.243,347.371,0.0,9.373,226.652,26.023,10.385,0.0,444.185,1531.828,0.0,25.545,15.479,827.674,493.923,0.0,4063.235,59.211,0.0
CZ0425,20165,41944,329,36,256,2667,648,0,29,624,50,24,0,846,3378,0,22,15,2185,925,0,8008,123,0,138.072,11.338,78.409,895.949,226.959,0.0,13.942,209.461,16.482,6.2909999999999995,0.0,269.595,1058.872,0.0,6.925,5.179,762.298,314.744,0.0,2642.021,43.452,0.0
CZ0426,15894,30242,227,28,234,1976,556,0,13,599,35,13,0,620,2996,0,31,22,1664,569,0,6217,94,0,67.181,9.943,70.17,596.082,163.452,0.0,3.474,184.94,10.651,4.509,0.0,189.033,889.144,0.0,8.835,7.342,497.78,172.984,0.0,1893.379,31.089,0.0
CZ0427,30262,54997,371,76,323,3384,835,0,21,1076,150,49,0,1351,5819,0,42,26,4609,1047,0,10905,178,0,108.426,22.406,99.021,1013.38,262.016,0.0,7.542,316.287,39.489,15.26,0.0,401.769,1683.988,0.0,11.543000000000001,9.289,1357.442,312.817,0.0,3287.442,51.859,0.0
CZ0511,16093,27154,224,45,280,2182,545,0,28,348,33,16,0,605,2847,0,22,43,2912,689,0,5199,75,0,103.74,27.622,125.205,1002.894,235.622,0.0,15.434000000000001,171.135,16.375,8.443,0.0,283.234,1362.858,0.0,10.187,20.642,1366.8,337.875,0.0,2375.811,36.118,0.0
