NUTS,SOUCET_HLASU,ZAPSANI_VOLICI,Strana zelených_votes,Švýcarská demokracie_votes,VOLNÝ blok_votes,Svoboda a př. demokracie (SPD)_votes,Česká str.sociálně demokrat._votes,Volte Pr.Blok www.cibulka.net_votes,ALIANCE NÁRODNÍCH SIL_votes,Trikolora Svobodní Soukromníci_votes,Aliance pro budoucnost_votes,Hnutí Prameny_votes,Levice_votes,PŘÍSAHA Roberta Šlachty_votes,"SPOLU – ODS, KDU-ČSL, TOP 09_votes",SENIOŘI 21_votes,Urza.cz: Nechceme vaše hlasy_votes,Koruna Česká (monarch.strana)_votes,PIRÁTI a STAROSTOVÉ_votes,Komunistická str.Čech a Moravy_votes,Moravské zemské hnutí_votes,ANO 2011_votes,Otevřeme ČR normálnímu životu_votes,Moravané_votes,Strana zelených_perc,Švýcarská demokracie_perc,VOLNÝ blok_perc,Svoboda a př. demokracie (SPD)_perc,Česká str.sociálně demokrat._perc,Volte Pr.Blok www.cibulka.net_perc,ALIANCE NÁRODNÍCH SIL_perc,Trikolora Svobodní Soukromníci_perc,Aliance pro budoucnost_perc,Hnutí Prameny_perc,Levice_perc,PŘÍSAHA Roberta Šlachty_perc,"SPOLU – ODS, KDU-ČSL, TOP 09_perc",SENIOŘI 21_perc,Urza.cz: Nechceme vaše hlasy_perc,Koruna Česká (monarch.strana)_perc,PIRÁTI a STAROSTOVÉ_perc,Komunistická str.Čech a Moravy_perc,Moravské zemské hnutí_perc,ANO 2011_perc,Otevřeme ČR normálnímu životu_perc,Moravané_perc
CZ010,174440,258317,1766,437,1345,8153,7209,160,150,4504,253,251,54,6219,68686,253,124,297,39109,3826,0,31102,432,110,379.365,96.516,283.025,1709.663,1544.446,41.1,31.555,945.329,53.411,52.609,10.849,1285.3,14573.248,57.837,25.525,63.296,8485.148,809.845,0.0,6534.666,92.744,24.483
CZ0201,34544,50862,333,210,317,2586,1887,0,39,760,49,52,0,1673,9000,56,37,86,5887,1359,0,9986,227,0,162.921,98.95,161.643,1246.131,946.5889999999999,0.0,14.359,360.463,31.744,26.06,0.0,797.248,4530.519,28.106,18.012,48.665,2868.637,689.172,0.0,4961.307,109.46,0.0
CZ0202,21228,30452,216,108,244,1608,964,0,13,601,49,21,0,1321,6274,32,25,54,3719,900,0,4943,136,0,86.607,42.049,92.05,639.735,383.068,0.0,5.273,220.262,15.861,8.249,0.0,493.201,2327.411,11.822000000000001,9.864,19.542,1418.491,329.027,0.0,1846.24,51.223,0.0
CZ0203,42099,66162,442,302,381,4270,1841,0,46,1057,84,49,0,2231,10480,71,42,81,6837,1883,0,11785,217,0,159.947,108.528,156.21,1607.56,656.246,0.0,22.563,370.038,29.483,16.168,0.0,757.11,3551.556,24.489,11.345,33.554,2279.172,705.9159999999999,0.0,4214.699,95.393,0.0
CZ0204,38987,58916,250,164,428,3428,1788,0,41,891,71,49,0,1566,8273,51,49,94,9589,1612,0,10472,171,0,86.505,67.271,177.868,1348.259,702.156,0.0,18.201,352.024,29.933,21.88,0.0,611.766,2999.284,21.34,17.937,37.983,3258.785,633.273,0.0,4042.308,73.212,0.0
CZ0205,31202,48627,239,151,266,2713,2036,0,68,622,59,62,0,1407,6382,51,32,66,5993,1428,0,9452,175,0,107.223,72.165,119.929,1322.875,979.631,0.0,42.815,308.605,32.164,39.538,0.0,613.235,2901.845,24.166,16.526,43.082,2692.434,693.858,0.0,4603.882,86.034,0.0
CZ0206,32309,50131,351,173,329,3060,1493,0,40,935,75,51,0,1519,8519,56,40,70,5353,1196,0,8873,176,0,123.868,56.492,109.116,1112.82,492.867,0.0,13.815,311.911,30.268,16.082,0.0,512.855,2773.781,22.347,15.647,27.012,1773.497,456.652,0.0,3085.118,65.848,0.0
CZ0207,37451,55552,464,220,426,3626,2016,0,41,1034,156,45,0,1557,9321,51,42,52,6656,1270,0,10206,268,0,193.037,92.71,186.413,1685.625,903.492,0.0,20.401,448.304,62.775999999999996,16.259,0.0,667.723,3912.473,26.802,25.255,22.667,2839.031,583.087,0.0,4393.065,120.858,0.0
CZ0208,33129,47715,317,177,332,2737,1631,0,60,815,78,58,0,1458,8550,50,28,69,6478,1135,0,8924,232,0,123.80799999999999,60.864,142.679,1159.816,704.462,0.0,18.564,318.993,35.985,29.376,0.0,587.753,3004.737,25.389,12.738,24.384,2274.734,499.566,0.0,3662.604,113.521,0.0
CZ0209,34462,47930,296,181,292,2227,1192,0,33,965,69,55,0,1432,12381,63,33,62,7141,755,0,7114,171,0,84.659,56.759,87.904,663.939,348.156,0.0,9.152,278.338,24.943,14.339,0.0,422.062,3351.978,16.896,9.397,17.631,1931.74,231.84,0.0,2097.338,52.902,0.0
CZ020A,17401,23438,197,100,142,913,620,0,12,500,20,22,0,744,6328,23,23,39,3962,368,0,3310,78,0,56.665,29.405,47.082,277.156,183.601,0.0,4.078,147.978,5.494,9.362,0.0,219.028,1792.868,7.017,7.3660000000000005,12.565,1087.012,115.273,0.0,972.2860000000001,25.773,0.0
