NUTS,SOUCET_HLASU,ZAPSANI_VOLICI,Strana zelených_votes,Švýcarská demokracie_votes,VOLNÝ blok_votes,Svoboda a př. demokracie (SPD)_votes,Česká str.sociálně demokrat._votes,Volte Pr.Blok www.cibulka.net_votes,ALIANCE NÁRODNÍCH SIL_votes,Trikolora Svobodní Soukromníci_votes,Aliance pro budoucnost_votes,Hnutí Prameny_votes,Levice_votes,PŘÍSAHA Roberta Šlachty_votes,"SPOLU – ODS, KDU-ČSL, TOP 09_votes",SENIOŘI 21_votes,Urza.cz: Nechceme vaše hlasy_votes,Koruna Česká (monarch.strana)_votes,PIRÁTI a STAROSTOVÉ_votes,Komunistická str.Čech a Moravy_votes,Moravské zemské hnutí_votes,ANO 2011_votes,Otevřeme ČR normálnímu životu_votes,Moravané_votes,Strana zelených_perc,Švýcarská demokracie_perc,VOLNÝ blok_perc,Svoboda a př. demokracie (SPD)_perc,Česká str.sociálně demokrat._perc,Volte Pr.Blok www.cibulka.net_perc,ALIANCE NÁRODNÍCH SIL_perc,Trikolora Svobodní Soukromníci_perc,Aliance pro budoucnost_perc,Hnutí Prameny_perc,Levice_perc,PŘÍSAHA Roberta Šlachty_perc,"SPOLU – ODS, KDU-ČSL, TOP 09_perc",SENIOŘI 21_perc,Urza.cz: Nechceme vaše hlasy_perc,Koruna Česká (monarch.strana)_perc,PIRÁTI a STAROSTOVÉ_perc,Komunistická str.Čech a Moravy_perc,Moravské zemské hnutí_perc,ANO 2011_perc,Otevřeme ČR normálnímu životu_perc,Moravané_perc
CZ010,89331,135845,884,206,705,4155,3731,88,80,2288,122,152,22,3189,35264,112,66,170,20108,1897,0,15851,181,60,204.253,48.911,158.569,937.027,852.693,26.516000000000002,18.113,514.681,28.381,34.169,4.91,699.185,8079.028,29.616,14.373,37.519,4673.983,424.806,0.0,3554.394,43.649,15.197
CZ0201,26780,39284,260,149,237,2002,1487,0,28,577,42,41,0,1328,6967,40,32,65,4511,1057,0,7783,174,0,137.63400000000001,79.5,131.944,1056.203,831.854,0.0,10.897,299.977,28.891,22.705,0.0,680.351,3833.818,23.016000000000002,16.793,40.727,2387.337,586.136,0.0,4243.469,88.734,0.0
CZ0202,14106,20328,151,73,164,1079,651,0,9,394,30,13,0,905,4172,22,16,38,2334,595,0,3360,100,0,73.046,33.355000000000004,74.046,509.96,309.348,0.0,4.559,171.167,11.322000000000001,6.107,0.0,394.568,1837.301,8.801,7.8389999999999995,14.669,1082.611,247.606,0.0,1470.91,42.758,0.0
CZ0203,30682,48254,346,211,309,3093,1380,0,31,769,64,29,0,1593,7729,56,33,61,4929,1355,0,8530,164,0,136.58,87.844,138.19,1320.886,541.66,0.0,18.038,302.051,24.155,11.426,0.0,606.606,2884.115,20.961,9.285,28.05,1818.27,565.925,0.0,3402.299,83.642,0.0
CZ0204,30583,45815,202,126,355,2646,1409,0,37,701,59,36,0,1237,6603,41,39,79,7349,1301,0,8230,133,0,76.263,59.09,162.498,1187.682,624.455,0.0,17.233,313.096,27.532,19.344,0.0,547.631,2653.356,19.188,15.56,35.059,2810.886,570.107,0.0,3594.998,66.001,0.0
CZ0205,25599,39622,197,121,223,2244,1666,0,59,507,46,53,0,1139,5195,46,28,56,4925,1175,0,7765,154,0,97.631,65.313,109.662,1210.942,899.433,0.0,39.362,283.779,29.142,37.485,0.0,552.625,2631.275,23.185,15.233,40.74,2446.796,635.292,0.0,4201.469,80.641,0.0
CZ0206,22108,34435,219,109,231,2085,1028,0,33,649,55,31,0,1052,5747,38,28,56,3679,857,0,6084,127,0,99.172,41.51,88.031,895.963,389.109,0.0,12.004,252.079,25.857,11.494,0.0,417.378,2195.257,18.733,12.51,24.499,1413.627,378.425,0.0,2469.701,54.64,0.0
CZ0207,26293,38555,319,165,302,2549,1449,0,35,728,108,34,0,1086,6324,31,34,35,4816,919,0,7159,200,0,160.125,79.986,158.324,1429.75,768.084,0.0,19.169,377.081,52.006,14.152000000000001,0.0,556.533,3229.13,22.801,23.34,18.675,2417.345,502.365,0.0,3667.235,103.885,0.0
CZ0208,26389,38003,256,147,264,2217,1365,0,47,649,65,46,0,1197,6748,42,23,54,5010,903,0,7169,187,0,108.162,53.265,126.467,1030.171,639.361,0.0,15.534,277.378,33.178,26.638,0.0,519.915,2593.479,23.655,11.714,21.674,1945.761,441.887,0.0,3230.489,101.248,0.0
CZ0209,18272,25938,163,106,169,1192,673,0,14,492,42,23,0,799,6252,30,20,29,3615,433,0,4123,97,0,60.125,43.548,64.709,469.875,252.824,0.0,5.617,191.643,20.052,8.408,0.0,307.736,2214.118,10.729,6.967,11.453,1284.727,171.837,0.0,1537.787,37.835,0.0
CZ020A,9905,13572,122,59,94,527,342,0,8,278,14,11,0,413,3571,10,13,24,2257,217,0,1908,37,0,42.243,22.951999999999998,36.778999999999996,197.568,127.317,0.0,2.5820000000000003,102.824,4.4799999999999995,6.407,0.0,151.308,1239.315,4.425,5.6000000000000005,9.259,747.0360000000001,84.561,0.0,698.087,17.267,0.0
CZ020B,35831,52912,376,207,371,2769,1860,0,39,788,67,51,0,2023,9515,59,35,72,6072,1543,0,9729,255,0,195.639,109.435,174.334,1379.699,949.472,0.0,15.829,387.037,34.409,28.509,0.0,969.67,4542.942,32.015,16.713,42.942,2815.709,827.426,0.0,4754.634,123.568,0.0
CZ020C,19317,30501,195,99,149,1833,1075,0,20,477,39,33,0,984,3990,23,25,56,3191,1053,0,5981,94,0,87.621,46.605,73.06700000000001,931.084,576.273,0.0,11.569,256.242,16.191,13.619,0.0,459.312,1868.635,9.012,13.363,30.619,1457.154,605.217,0.0,3096.67,47.733,0.0
CZ0311,47749,70301,465,140,568,4281,2349,0,59,1867,146,113,0,2097,14151,0,77,71,6950,2115,0,12037,221,42,196.552,76.015,263.868,1911.068,1078.696,0.0,24.559,801.745,61.113,50.309,0.0,858.717,5792.196,0.0,35.134,30.517,2669.121,995.075,0.0,5201.642,131.006,22.643
CZ0312,10678,16859,148,44,122,1183,477,0,9,315,15,26,0,486,3022,0,10,16,1364,471,0,2893,65,12,59.864,15.744,48.602000000000004,469.384,178.469,0.0,2.423,125.271,7.94,9.678,0.0,183.898,1168.666,0.0,4.292,6.729,485.61,171.657,0.0,1135.59,21.464,4.74
CZ0313,32757,50131,301,82,346,3157,1897,0,40,1298,61,39,0,1593,8179,0,42,65,4312,1621,0,9517,148,59,153.81,38.193,210.215,1754.664,998.549,0.0,19.012,700.206,33.236,22.635,0.0,901.567,4405.99,0.0,15.907,41.602000000000004,2181.711,957.042,0.0,5233.844,83.706,48.102000000000004
CZ0314,24351,37940,251,62,238,2202,1585,0,18,809,112,46,0,1067,7107,0,39,44,3036,1226,0,6375,106,28,122.359,31.609,142.026,1199.841,776.924,0.0,8.1,471.625,61.555,20.212,0.0,551.841,3475.048,0.0,23.566,20.005,1481.01,658.4399999999999,0.0,3286.683,58.808,10.353
CZ0315,13908,21843,134,41,213,1426,704,0,16,457,36,24,0,592,3756,0,40,32,1711,736,0,3896,72,22,106.891,23.373,129.625,899.581,433.081,0.0,15.088000000000001,326.696,28.578,13.079,0.0,374.076,2440.96,0.0,24.981,24.777,1082.39,455.281,0.0,2368.428,43.682,9.446
CZ0316,24415,37882,255,83,237,2371,1353,0,32,761,90,49,0,1019,6710,0,45,46,2910,1096,0,7204,118,36,184.618,71.669,149.879,1776.576,962.103,0.0,31.166,536.639,68.31,42.318,0.0,648.564,4732.15,0.0,36.505,31.441,1939.158,857.496,0.0,5022.317,86.98,22.113
CZ0317,38379,57186,366,123,353,3147,2337,0,96,1126,67,52,0,1841,10687,0,54,98,5150,1826,0,10842,175,39,155.338,63.63,162.902,1469.699,1073.292,0.0,41.094,522.3870000000001,36.813,20.327,0.0,876.537,4865.545,0.0,23.313,53.784,2202.558,888.338,0.0,4943.908,79.138,21.402
CZ0321,23356,37514,171,73,279,2875,1477,0,16,530,111,66,0,914,5798,33,32,41,2753,1075,0,6968,144,0,94.325,43.039,148.619,1515.668,832.823,0.0,5.595,264.582,60.053,37.886,0.0,451.553,2750.366,19.23,16.476,22.504,1339.579,512.554,0.0,3507.361,77.786,0.0
CZ0322,28732,43860,274,84,396,3107,1496,0,24,652,67,54,0,1425,7068,39,28,68,3579,1221,0,9003,147,0,195.31,54.323,272.425,2226.165,1049.478,0.0,21.499,489.796,43.123,37.014,0.0,952.84,4533.024,30.867,14.403,44.605,2406.5,905.257,0.0,6322.371,101.009,0.0
CZ0323,68528,106430,658,175,770,5600,3222,0,54,1884,192,167,0,2930,20703,108,54,183,11270,2240,0,18133,185,0,173.477,44.848,191.375,1439.288,824.502,0.0,13.346,474.067,49.61,45.257,0.0,753.474,5115.628,31.344,14.484,46.505,2848.826,581.614,0.0,4604.176,48.152,0.0
CZ0324,23289,35756,210,77,327,2624,1252,0,29,592,82,45,0,1302,5336,46,32,92,2812,1146,0,7154,131,0,154.575,43.376,241.52,1947.025,967.024,0.0,23.341,391.49,64.605,35.278,0.0,921.997,3595.851,38.022,24.629,54.726,1833.647,886.042,0.0,5377.83,99.025,0.0
CZ0325,25289,38881,267,82,312,2639,1318,0,42,615,102,46,0,1240,6461,37,32,60,3332,1114,0,7453,137,0,122.425,34.113,154.305,1215.656,633.78,0.0,33.575,261.88,49.672,24.451999999999998,0.0,582.667,2846.501,15.102,19.644,22.369,1426.942,554.514,0.0,3638.317,64.105,0.0
CZ0326,19130,29358,204,43,199,1885,887,0,33,481,55,36,0,966,4626,44,17,49,2478,912,0,6110,105,0,92.81,18.434,82.426,846.728,438.492,0.0,9.966,215.873,25.137,18.56,0.0,462.888,2153.374,25.312,7.3500000000000005,28.483,1171.117,460.326,0.0,2988.949,53.776,0.0
CZ0327,14350,24608,200,53,215,1807,725,0,10,279,28,27,0,659,2549,25,14,27,1785,932,0,4932,83,0,103.896,29.649,89.76,918.578,303.85699999999997,0.0,6.5649999999999995,111.881,17.605,14.478,0.0,305.74,1045.745,13.625,7.436999999999999,9.84,787.486,450.831,0.0,2246.235,36.79,0.0
CZ0411,14749,25959,205,68,222,1918,489,0,15,420,59,19,0,638,3069,0,23,34,2128,543,0,4805,94,0,79.655,29.098,97.126,816.467,183.44,0.0,6.384,183.931,21.64,11.195,0.0,244.479,1204.868,0.0,8.741999999999999,11.904,816.749,250.96,0.0,2089.141,44.212,0.0
CZ0412,21870,37905,235,95,362,2582,778,0,30,638,93,34,0,1058,5063,0,43,37,3057,691,0,6855,219,0,91.801,43.637,141.165,999.757,269.998,0.0,13.112,233.705,30.191,10.417,0.0,381.094,1732.235,0.0,17.459,15.272,1042.312,263.68,0.0,2433.183,80.958,0.0
CZ0413,21072,39605,257,87,307,3260,898,0,18,597,86,22,0,1120,3406,0,32,31,2638,659,0,7503,151,0,71.923,22.619,89.561,942.292,242.913,0.0,4.618,156.196,22.679,9.148,0.0,315.85,921.812,0.0,8.575,8.132,741.752,195.271,0.0,2101.611,45.044,0.0
