NUTS,SOUCET_HLASU,ZAPSANI_VOLICI,Strana zelených_votes,Švýcarská demokracie_votes,VOLNÝ blok_votes,Svoboda a př. demokracie (SPD)_votes,Česká str.sociálně demokrat._votes,Volte Pr.Blok www.cibulka.net_votes,ALIANCE NÁRODNÍCH SIL_votes,Trikolora Svobodní Soukromníci_votes,Aliance pro budoucnost_votes,Hnutí Prameny_votes,Levice_votes,PŘÍSAHA Roberta Šlachty_votes,"SPOLU – ODS, KDU-ČSL, TOP 09_votes",SENIOŘI 21_votes,Urza.cz: Nechceme vaše hlasy_votes,Koruna Česká (monarch.strana)_votes,PIRÁTI a STAROSTOVÉ_votes,Komunistická str.Čech a Moravy_votes,Moravské zemské hnutí_votes,ANO 2011_votes,Otevřeme ČR normálnímu životu_votes,Moravané_votes,Strana zelených_perc,Švýcarská demokracie_perc,VOLNÝ blok_perc,Svoboda a př. demokracie (SPD)_perc,Česká str.sociálně demokrat._perc,Volte Pr.Blok www.cibulka.net_perc,ALIANCE NÁRODNÍCH SIL_perc,Trikolora Svobodní Soukromníci_perc,Aliance pro budoucnost_perc,Hnutí Prameny_perc,Levice_perc,PŘÍSAHA Roberta Šlachty_perc,"SPOLU – ODS, KDU-ČSL, TOP 09_perc",SENIOŘI 21_perc,Urza.cz: Nechceme vaše hlasy_perc,Koruna Česká (monarch.strana)_perc,PIRÁTI a STAROSTOVÉ_perc,Komunistická str.Čech a Moravy_perc,Moravské zemské hnutí_perc,ANO 2011_perc,Otevřeme ČR normálnímu životu_perc,Moravané_perc
CZ010,341196,495180,3355,869,2648,15826,13704,328,274,8840,491,449,125,11977,135109,466,249,588,77393,7446,0,60006,858,195,668.751,173.11,511.87,3062.656,2704.514,72.629,52.575,1713.305,94.754,86.819,23.737,2300.057,26277.871,96.768,47.137,115.806,15362.856,1462.392,0.0,11666.019,166.767,39.592
CZ0201,42650,62854,402,244,378,3157,2342,0,46,933,67,68,0,2075,11187,69,46,104,7324,1664,0,12269,275,0,183.553,106.451,175.7,1389.855,1069.551,0.0,18.169,401.194,38.342,29.817,0.0,906.172,5091.052,31.102,21.026,53.661,3250.97,773.742,0.0,5534.494,125.135,0.0
CZ0202,35583,51385,323,167,361,2597,1645,0,24,893,79,40,0,2197,10444,53,39,79,6233,1545,0,8612,252,0,102.758,54.091,109.287,810.573,494.263,0.0,7.03,265.77,20.46,11.129999999999999,0.0,623.36,2987.66,15.243,12.012,24.544,1816.127,432.882,0.0,2440.781,72.0,0.0
CZ0203,60427,94353,640,411,505,5885,2580,0,76,1540,112,82,0,3140,15436,100,65,122,10137,2594,0,16699,303,0,194.606,128.785,178.964,1907.869,789.846,0.0,27.743,457.422,35.025,21.876,0.0,917.33,4425.17,30.746,15.545,41.55,2862.931,838.112,0.0,5115.79,110.663,0.0
CZ0204,47283,71976,301,202,501,4244,2166,0,54,1100,92,59,0,1912,9794,66,56,109,11780,1947,0,12677,223,0,94.408,72.921,191.089,1487.9,764.281,0.0,20.153,388.064,32.632,23.533,0.0,669.085,3260.26,23.582,19.564,40.556,3628.104,691.837,0.0,4409.573,82.444,0.0
CZ0205,36161,55828,268,170,299,3130,2362,0,73,719,71,76,0,1610,7578,59,35,71,7059,1566,0,10808,207,0,112.348,78.261,126.421,1419.757,1039.617,0.0,43.663000000000004,328.184,35.669,43.427,0.0,653.837,3129.102,25.737,17.032,44.03,2896.896,722.175,0.0,4891.515,92.33500000000001,0.0
CZ0206,43028,66269,463,215,397,3942,1995,0,57,1229,95,67,0,2022,11590,64,51,87,7394,1595,0,11548,217,0,143.904,63.476,122.489,1276.489,588.872,0.0,17.616,366.811,33.865,19.292,0.0,606.654,3341.575,24.205,17.873,30.048,2148.863,534.117,0.0,3589.011,74.841,0.0
CZ0207,51405,77164,639,283,593,4889,2775,0,55,1415,205,67,0,2177,13036,66,60,78,9072,1817,0,13824,354,0,238.362,110.733,226.257,2022.032,1114.939,0.0,24.071,546.858,77.787,20.604,0.0,845.744,4794.018,32.159,29.422,29.47,3442.507,745.283,0.0,5355.451,144.281,0.0
CZ0208,42226,62494,433,229,443,3496,2033,0,76,1042,95,70,0,1834,11115,63,37,85,8490,1379,0,11016,290,0,143.17,69.297,161.728,1292.22,773.367,0.0,21.252,358.547,38.908,31.492,0.0,654.365,3451.842,28.189,14.322000000000001,27.213,2622.945,542.644,0.0,4044.757,123.71000000000001,0.0
CZ0209,54840,75927,474,266,484,3344,1898,0,51,1530,106,91,0,2225,20040,84,51,95,11538,1186,0,11091,286,0,111.938,71.208,116.978,842.092,460.971,0.0,12.042,368.67199999999997,32.043,20.216,0.0,550.285,4554.619,20.876,11.915,24.334,2598.647,298.896,0.0,2732.543,71.705,0.0
