NUTS,SOUCET_HLASU,ZAPSANI_VOLICI,Strana zelených_votes,Švýcarská demokracie_votes,VOLNÝ blok_votes,Svoboda a př. demokracie (SPD)_votes,Česká str.sociálně demokrat._votes,Volte Pr.Blok www.cibulka.net_votes,ALIANCE NÁRODNÍCH SIL_votes,Trikolora Svobodní Soukromníci_votes,Aliance pro budoucnost_votes,Hnutí Prameny_votes,Levice_votes,PŘÍSAHA Roberta Šlachty_votes,"SPOLU – ODS, KDU-ČSL, TOP 09_votes",SENIOŘI 21_votes,Urza.cz: Nechceme vaše hlasy_votes,Koruna Česká (monarch.strana)_votes,PIRÁTI a STAROSTOVÉ_votes,Komunistická str.Čech a Moravy_votes,Moravské zemské hnutí_votes,ANO 2011_votes,Otevřeme ČR normálnímu životu_votes,Moravané_votes,Strana zelených_perc,Švýcarská demokracie_perc,VOLNÝ blok_perc,Svoboda a př. demokracie (SPD)_perc,Česká str.sociálně demokrat._perc,Volte Pr.Blok www.cibulka.net_perc,ALIANCE NÁRODNÍCH SIL_perc,Trikolora Svobodní Soukromníci_perc,Aliance pro budoucnost_perc,Hnutí Prameny_perc,Levice_perc,PŘÍSAHA Roberta Šlachty_perc,"SPOLU – ODS, KDU-ČSL, TOP 09_perc",SENIOŘI 21_perc,Urza.cz: Nechceme vaše hlasy_perc,Koruna Česká (monarch.strana)_perc,PIRÁTI a STAROSTOVÉ_perc,Komunistická str.Čech a Moravy_perc,Moravské zemské hnutí_perc,ANO 2011_perc,Otevřeme ČR normálnímu životu_perc,Moravané_perc
CZ010,1087,1586,10,2,7,39,38,1,0,35,1,3,0,35,462,1,3,1,254,16,0,177,2,0,2.7009999999999996,0.512,1.9709999999999999,10.789,10.45,0.282,0.0,9.652000000000001,0.292,0.794,0.0,9.648,127.336,0.282,0.83,0.292,70.584,4.4719999999999995,0.0,48.527,0.585,0.0
CZ0201,1856,2555,12,5,7,130,122,0,0,34,2,2,0,70,499,1,4,5,329,77,0,547,10,0,13.814,7.239999999999999,12.026,137.92000000000002,122.14999999999999,0.0,0.0,35.9,2.755,1.695,0.0,84.745,581.371,2.174,6.29,4.808,395.063,91.825,0.0,589.668,10.556,0.0
CZ0202,1541,2228,12,3,24,141,103,0,2,47,3,3,0,105,384,1,1,4,225,79,0,394,10,0,13.027,3.798,21.027,113.088,81.706,0.0,1.008,31.733,1.621,1.577,0.0,64.013,321.66200000000003,0.383,1.587,1.737,199.647,45.357,0.0,289.36400000000003,7.6579999999999995,0.0
CZ0203,2105,3329,23,12,22,260,98,0,2,56,5,2,0,142,482,3,2,7,301,92,0,573,23,0,18.535999999999998,11.907,21.408,233.315,71.063,0.0,0.896,49.832,2.794,0.9570000000000001,0.0,89.649,389.088,3.2359999999999998,0.467,11.72,231.6,66.309,0.0,469.205,28.014,0.0
CZ0204,3129,4584,24,11,33,308,147,0,2,89,6,4,0,140,571,3,4,10,677,165,0,921,14,0,20.882,14.579,26.152,290.927,135.879,0.0,3.052,80.469,5.531,6.066,0.0,129.393,537.039,4.187,3.054,8.177999999999999,605.82,141.278,0.0,871.908,15.595,0.0
CZ0205,1541,2238,9,9,18,129,113,0,1,46,3,4,0,52,307,7,3,4,288,66,0,474,8,0,8.710999999999999,12.641,20.747999999999998,198.133,166.246,0.0,0.935,63.347,5.948,7.984,0.0,74.59,443.251,7.511,3.535,10.686,388.808,89.38199999999999,0.0,686.284,11.261,0.0
CZ0206,998,1477,7,8,7,115,32,0,0,23,4,2,0,51,267,2,2,0,149,40,0,288,1,0,10.215,7.597,7.764,120.428,27.233999999999998,0.0,0.0,24.159000000000002,5.085,2.4930000000000003,0.0,55.649,253.345,3.774,2.372,0.0,137.433,43.415,0.0,298.426,0.61,0.0
CZ0207,4466,6719,57,23,37,487,235,0,4,101,9,5,0,179,1077,3,5,5,788,146,0,1261,44,0,43.262,12.0,32.458,416.906,189.787,0.0,3.954,94.822,4.995,2.656,0.0,153.766,914.939,4.533,10.437999999999999,4.522,630.094,128.22,0.0,1022.213,30.445,0.0
CZ0208,2519,3588,35,9,44,253,150,0,3,70,9,3,0,119,490,5,6,6,411,98,0,788,20,0,31.434,6.258,39.646,239.2,143.281,0.0,2.3529999999999998,74.029,5.604,2.488,0.0,107.081,477.451,11.394,5.672000000000001,4.001,369.407,108.904,0.0,748.164,23.634,0.0
CZ0209,1012,1485,9,3,6,92,47,0,0,29,3,0,0,66,268,2,2,0,176,30,0,267,12,0,6.601,3.124,6.462,87.8,40.227000000000004,0.0,0.0,27.208,4.584,0.0,0.0,57.678,218.50799999999998,1.053,1.053,0.0,158.43200000000002,34.476,0.0,241.078,11.717,0.0
