NUTS,SOUCET_HLASU,ZAPSANI_VOLICI,Strana zelených_votes,Švýcarská demokracie_votes,VOLNÝ blok_votes,Svoboda a př. demokracie (SPD)_votes,Česká str.sociálně demokrat._votes,Volte Pr.Blok www.cibulka.net_votes,ALIANCE NÁRODNÍCH SIL_votes,Trikolora Svobodní Soukromníci_votes,Aliance pro budoucnost_votes,Hnutí Prameny_votes,Levice_votes,PŘÍSAHA Roberta Šlachty_votes,"SPOLU – ODS, KDU-ČSL, TOP 09_votes",SENIOŘI 21_votes,Urza.cz: Nechceme vaše hlasy_votes,Koruna Česká (monarch.strana)_votes,PIRÁTI a STAROSTOVÉ_votes,Komunistická str.Čech a Moravy_votes,Moravské zemské hnutí_votes,ANO 2011_votes,Otevřeme ČR normálnímu životu_votes,Moravané_votes,Strana zelených_perc,Švýcarská demokracie_perc,VOLNÝ blok_perc,Svoboda a př. demokracie (SPD)_perc,Česká str.sociálně demokrat._perc,Volte Pr.Blok www.cibulka.net_perc,ALIANCE NÁRODNÍCH SIL_perc,Trikolora Svobodní Soukromníci_perc,Aliance pro budoucnost_perc,Hnutí Prameny_perc,Levice_perc,PŘÍSAHA Roberta Šlachty_perc,"SPOLU – ODS, KDU-ČSL, TOP 09_perc",SENIOŘI 21_perc,Urza.cz: Nechceme vaše hlasy_perc,Koruna Česká (monarch.strana)_perc,PIRÁTI a STAROSTOVÉ_perc,Komunistická str.Čech a Moravy_perc,Moravské zemské hnutí_perc,ANO 2011_perc,Otevřeme ČR normálnímu životu_perc,Moravané_perc
CZ010,289803,421674,2869,717,2242,13424,11790,278,230,7502,429,388,100,10233,114449,394,203,504,65832,6347,0,50993,713,166,585.162,146.687,444.581,2665.236,2385.705,64.104,45.321,1491.334,84.39,76.072,19.641,2008.672,22845.907,84.586,39.393,101.877,13399.606,1275.24,0.0,10158.732,142.878,34.849
CZ0201,39361,58046,379,228,349,2935,2172,0,44,862,64,61,0,1897,10235,63,44,98,6737,1537,0,11406,250,0,176.168,102.918,170.124,1338.607,1024.538,0.0,17.563,384.772,37.659,28.291,0.0,863.132,4856.207,29.66,20.603,51.454,3099.012,743.327,0.0,5338.617,117.331,0.0
CZ0202,31546,45467,289,145,334,2334,1469,0,21,799,75,35,0,2007,9103,47,35,76,5415,1417,0,7714,231,0,97.714,50.539,105.841,770.65,466.575,0.0,6.536,250.332,19.791,10.42,0.0,593.214,2799.877,14.028,11.265,24.05,1701.45,411.94599999999997,0.0,2297.103,68.645,0.0
CZ0203,55241,86495,585,382,479,5426,2382,0,65,1396,106,70,0,2894,13952,90,54,112,9157,2395,0,15411,285,0,186.424,124.121,175.022,1836.231,758.773,0.0,25.854,435.058,33.811,19.668,0.0,880.436,4203.262,29.063,13.356,39.826,2705.591,806.034,0.0,4919.614,107.827,0.0
CZ0204,46263,70307,296,201,488,4162,2128,0,52,1078,90,57,0,1881,9600,65,56,108,11438,1918,0,12426,219,0,93.369,72.752,188.57,1472.301,756.762,0.0,19.75,383.894,32.229,23.195,0.0,663.331,3220.499,23.413,19.564,40.322,3559.913,686.485,0.0,4361.996,81.639,0.0
CZ0205,33913,52621,255,163,286,2935,2169,0,69,666,62,74,0,1524,6984,57,34,70,6634,1500,0,10235,196,0,110.033,77.199,123.648,1379.872,1007.628,0.0,42.981,317.963,34.057,43.219,0.0,638.873,3029.286,25.386,16.928,43.926,2823.615,710.772,0.0,4784.365,90.259,0.0
CZ0206,40743,62921,450,207,377,3720,1903,0,51,1172,90,61,0,1914,10944,62,50,87,6994,1509,0,10952,200,0,140.885,62.223,117.944,1229.154,565.302,0.0,16.17,354.176,33.153,18.002,0.0,583.424,3204.353,23.536,17.593,30.048,2061.301,513.943,0.0,3458.407,70.388,0.0
CZ0207,45786,68025,570,263,529,4352,2476,0,49,1257,182,59,0,1948,11493,62,55,74,8076,1615,0,12412,314,0,223.798,105.281,214.904,1898.921,1048.012,0.0,23.263,513.142,72.27,19.441,0.0,792.734,4474.657,29.84,28.352999999999998,28.6,3238.295,699.405,0.0,5054.123,134.935,0.0
CZ0208,41831,61854,424,228,440,3459,2019,0,76,1036,95,68,0,1806,11022,62,36,85,8420,1368,0,10899,288,0,140.892,69.044,160.969,1282.853,769.823,0.0,21.252,357.028,38.908,30.986,0.0,647.276,3428.2980000000002,27.936,14.069,27.213,2605.223,539.859,0.0,4015.137,123.20400000000001,0.0
CZ0209,47936,66493,415,231,417,2980,1678,0,47,1335,93,82,0,1968,17337,82,44,78,10068,1044,0,9790,247,0,103.877,66.132,108.389,786.842,428.626,0.0,11.501999999999999,341.769,29.933,18.787,0.0,511.854,4163.943,20.528,11.127,21.482,2390.159,277.829,0.0,2541.248,65.956,0.0
CZ020A,30204,40974,348,141,233,1606,1041,0,22,793,37,36,0,1186,11190,45,41,68,7079,633,0,5584,121,0,79.182,35.757,62.367999999999995,385.946,250.39,0.0,6.223,195.876,8.41,11.578,0.0,290.46,2548.551,10.823,10.369,17.026,1562.7740000000001,156.538,0.0,1334.574,33.162,0.0
CZ020B,49908,74566,546,284,532,3900,2649,0,54,1135,83,75,0,2830,13066,84,47,96,8506,2187,0,13504,330,0,231.845,127.332,209.933,1642.965,1127.283,0.0,20.6,466.605,37.966,34.358,0.0,1157.141,5316.34,37.318,19.22,47.964,3374.227,976.732,0.0,5629.927,142.223,0.0
CZ020C,23511,37121,230,119,200,2239,1339,0,22,562,51,40,0,1218,4834,27,28,66,3774,1330,0,7312,120,0,97.471,61.349000000000004,86.828,1091.654,657.938,0.0,12.068,291.291,19.221,15.161,0.0,544.785,2156.717,9.916,13.941,34.074,1660.168,706.164,0.0,3582.774,58.462,0.0
CZ0311,84275,123310,831,266,992,7328,4093,0,100,3201,242,208,0,3756,25573,0,135,139,12403,3605,0,20972,359,72,273.853,102.973,363.472,2547.451,1444.091,0.0,32.952,1082.257,82.498,79.985,0.0,1191.011,8066.207,0.0,46.613,45.294,3736.096,1324.717,0.0,6990.842,160.636,29.042
CZ0312,23323,37024,313,89,299,2400,1125,0,26,743,49,49,0,1069,6458,0,38,37,3041,1053,0,6361,140,33,95.191,27.468,87.539,740.572,322.822,0.0,6.752,227.807,15.626000000000001,16.255,0.0,314.106,1948.371,0.0,10.882,11.603,863.642,290.324,0.0,1873.833,38.113,9.12
CZ0313,42453,64447,386,100,478,4012,2458,0,53,1617,71,49,0,2059,10951,0,54,80,5540,2151,0,12146,178,70,171.624,42.693,240.999,1953.067,1122.015,0.0,22.681,778.741,35.102,24.328,0.0,1008.6610000000001,5033.121,0.0,18.551,44.334,2456.691,1090.819,0.0,5815.413,90.484,50.665
