NUTS,SOUCET_HLASU,ZAPSANI_VOLICI,Strana zelených_votes,Švýcarská demokracie_votes,VOLNÝ blok_votes,Svoboda a př. demokracie (SPD)_votes,Česká str.sociálně demokrat._votes,Volte Pr.Blok www.cibulka.net_votes,ALIANCE NÁRODNÍCH SIL_votes,Trikolora Svobodní Soukromníci_votes,Aliance pro budoucnost_votes,Hnutí Prameny_votes,Levice_votes,PŘÍSAHA Roberta Šlachty_votes,"SPOLU – ODS, KDU-ČSL, TOP 09_votes",SENIOŘI 21_votes,Urza.cz: Nechceme vaše hlasy_votes,Koruna Česká (monarch.strana)_votes,PIRÁTI a STAROSTOVÉ_votes,Komunistická str.Čech a Moravy_votes,Moravské zemské hnutí_votes,ANO 2011_votes,Otevřeme ČR normálnímu životu_votes,Moravané_votes,Strana zelených_perc,Švýcarská demokracie_perc,VOLNÝ blok_perc,Svoboda a př. demokracie (SPD)_perc,Česká str.sociálně demokrat._perc,Volte Pr.Blok www.cibulka.net_perc,ALIANCE NÁRODNÍCH SIL_perc,Trikolora Svobodní Soukromníci_perc,Aliance pro budoucnost_perc,Hnutí Prameny_perc,Levice_perc,PŘÍSAHA Roberta Šlachty_perc,"SPOLU – ODS, KDU-ČSL, TOP 09_perc",SENIOŘI 21_perc,Urza.cz: Nechceme vaše hlasy_perc,Koruna Česká (monarch.strana)_perc,PIRÁTI a STAROSTOVÉ_perc,Komunistická str.Čech a Moravy_perc,Moravské zemské hnutí_perc,ANO 2011_perc,Otevřeme ČR normálnímu životu_perc,Moravané_perc
CZ010,129690,194237,1306,307,1011,6105,5268,119,109,3360,188,193,42,4649,50999,175,90,223,29320,2820,0,23017,302,87,288.535,70.892,218.123,1320.681,1159.516,32.93,23.74,732.616,41.362,42.099,8.798,986.848,11205.003,42.32,19.461,47.896,6577.101,611.176,0.0,4983.636,67.107,20.129
CZ0201,30482,44507,294,173,275,2282,1668,0,32,676,44,43,0,1499,7948,48,34,75,5198,1215,0,8778,200,0,149.868,88.147,152.605,1160.643,889.926,0.0,12.084,332.183,29.904,23.636,0.0,740.787,4178.489,25.544,17.542,44.330999999999996,2632.124,640.861,0.0,4583.642,97.67099999999999,0.0
CZ0202,18021,26084,175,94,209,1376,847,0,11,519,42,15,0,1111,5261,28,22,47,3032,798,0,4315,119,0,77.891,39.011,83.77,579.182,350.98199999999997,0.0,4.853,199.529,13.899000000000001,6.401,0.0,441.231,2090.35,10.223,8.837,16.696,1252.454,298.817,0.0,1678.763,47.086,0.0
CZ0203,36254,56917,401,266,344,3680,1601,0,36,895,76,41,0,1904,9105,64,36,70,5900,1559,0,10086,190,0,149.157,101.097,147.97,1467.594,598.548,0.0,19.184,331.683,28.008,14.055,0.0,684.847,3228.212,22.889,9.911,30.353,2064.122,617.353,0.0,3795.079,89.918,0.0
CZ0204,35950,54479,230,146,401,3155,1652,0,39,814,64,44,0,1443,7622,46,47,87,8781,1489,0,9728,162,0,83.481,64.157,173.76,1303.376,677.349,0.0,17.775,339.733,28.873,20.945,0.0,592.32,2892.815,20.409,17.716,37.105,3126.459,612.017,0.0,3919.905,71.792,0.0
CZ0205,28583,44294,220,134,246,2526,1839,0,67,561,51,57,0,1279,5824,48,32,59,5446,1316,0,8715,163,0,103.615,68.918,115.685,1287.804,944.458,0.0,42.603,296.727,30.625,38.556,0.0,588.282,2795.842,23.533,16.526,41.68,2586.844,672.564,0.0,4462.113,83.632,0.0
CZ0206,26193,40800,259,137,275,2477,1220,0,36,758,63,36,0,1221,6853,48,35,60,4330,996,0,7238,151,0,109.873,50.24,100.288,1015.084,447.776,0.0,13.139,283.092,28.431,13.787,0.0,464.815,2505.803,20.932,14.790000000000001,25.301,1606.396,423.485,0.0,2814.841,61.924,0.0
CZ0207,31832,46855,400,194,363,3055,1727,0,39,889,136,40,0,1326,7797,42,38,46,5711,1088,0,8713,228,0,178.627,86.593,172.579,1541.508,834.362,0.0,19.953,413.008,58.627,15.402000000000001,0.0,614.877,3578.509,25.3,24.309,21.548000000000002,2623.216,542.571,0.0,4038.17,110.818,0.0
CZ0208,29448,42268,283,161,286,2434,1479,0,56,726,68,50,0,1294,7692,46,26,59,5679,979,0,7925,205,0,115.897,56.631,131.985,1084.21,665.893,0.0,17.872,298.324,33.696,27.334,0.0,543.51,2791.284,24.605,12.38,22.5,2089.487,461.168,0.0,3416.378,106.822,0.0
CZ0209,24925,34804,221,134,217,1616,848,0,22,706,54,30,0,1073,8821,40,22,41,5115,559,0,5284,122,0,70.246,48.048,73.59,546.132,283.589,0.0,7.2669999999999995,230.532,22.072,9.418,0.0,353.229,2681.78,12.261,7.28,13.484,1554.984,194.256,0.0,1748.901,42.913,0.0
CZ020A,13588,18510,158,82,117,730,494,0,10,386,15,15,0,583,4870,18,19,32,3119,289,0,2588,63,0,50.559,27.002,41.937,242.775,159.964,0.0,3.067,126.432,4.676,7.332999999999999,0.0,188.593,1524.107,6.034,6.832,11.0,934.241,100.394,0.0,841.859,23.198,0.0
CZ020B,39761,59169,422,225,422,3117,2069,0,40,887,72,54,0,2269,10379,64,40,78,6679,1755,0,10919,270,0,205.423,114.011,186.662,1459.983,996.838,0.0,16.067,409.476,35.619,29.255,0.0,1026.415,4742.024,33.018,17.683,44.127,2955.054,875.508,0.0,5026.044,126.774,0.0
CZ020C,19728,31191,196,100,152,1872,1100,0,20,485,40,33,0,1007,4082,24,25,58,3242,1096,0,6102,94,0,87.902,53.272,73.91,957.029,585.515,0.0,11.569,258.489,16.472,13.619,0.0,474.378,1931.659,9.293000000000001,13.363,31.181,1488.961,643.11,0.0,3202.531,47.733,0.0
