NUTS,counted
CZ010,0.0
CZ0201,0.246
CZ0202,0.323
CZ0203,0.0
CZ0204,0.39
CZ0205,0.201
CZ0206,0.096
CZ0207,0.076
CZ0208,0.0
CZ0209,0.055
CZ020A,0.0
CZ020B,0.278
CZ020C,0.0
CZ0311,0.254
CZ0312,0.0
CZ0313,0.144
CZ0314,0.813
CZ0315,0.14
CZ0316,1.972
CZ0317,0.391
CZ0321,2.284
CZ0322,1.278
CZ0323,0.216
CZ0324,0.909
CZ0325,0.678
CZ0326,0.947
CZ0327,0.756
CZ0411,0.084
CZ0412,0.038
CZ0413,0.0
CZ0421,0.1
CZ0422,0.0
CZ0423,0.0
CZ0424,0.601
CZ0425,0.077
CZ0426,0.0
CZ0427,0.264
CZ0511,0.198
CZ0512,0.0
CZ0513,0.0
CZ0514,0.109
CZ0521,0.575
CZ0522,0.567
CZ0523,0.147
CZ0524,0.318
CZ0525,0.0
CZ0531,0.394
CZ0532,0.124
CZ0533,0.434
CZ0534,0.53
CZ0631,0.506
CZ0632,1.264
CZ0633,1.022
CZ0634,0.717
CZ0635,0.74
CZ0641,0.0
CZ0642,0.0
CZ0643,0.095
CZ0644,0.0
CZ0645,0.0
CZ0646,0.159
CZ0647,0.098
CZ0711,0.0
CZ0712,0.172
CZ0713,0.289
CZ0714,0.068
CZ0715,0.039
CZ0721,0.282
CZ0722,0.0
CZ0723,0.0
CZ0724,0.062
CZ0801,0.146
CZ0802,0.0
CZ0803,0.0
CZ0804,0.0
CZ0805,0.0
CZ0806,0.003
CZZZZZ,0.326
