NUTS,counted
CZ010,46.191
CZ0201,73.934
CZ0202,63.597
CZ0203,69.281
CZ0204,88.839
CZ0205,87.265
CZ0206,76.839
CZ0207,72.706
CZ0208,80.635
CZ0209,49.775
CZ020A,38.046
CZ020B,81.155
CZ020C,83.806
CZ0311,81.127
CZ0312,78.326
CZ0313,87.133
CZ0314,96.281
CZ0315,81.896
CZ0316,95.78
CZ0317,96.319
CZ0321,98.104
CZ0322,89.25
CZ0323,93.897
CZ0324,91.472
CZ0325,95.097
CZ0326,94.38
CZ0327,92.148
CZ0411,76.996
CZ0412,84.202
CZ0413,91.209
CZ0421,72.296
CZ0422,83.31
CZ0423,92.716
CZ0424,89.616
CZ0425,95.715
CZ0426,94.474
CZ0427,95.728
CZ0511,94.243
CZ0512,93.134
CZ0513,76.038
CZ0514,89.669
CZ0521,91.917
CZ0522,95.474
CZ0523,95.532
CZ0524,92.019
CZ0525,86.138
CZ0531,85.21
CZ0532,70.582
CZ0533,95.089
CZ0534,85.769
CZ0631,90.144
CZ0632,94.013
CZ0633,87.922
CZ0634,81.09
CZ0635,86.486
CZ0641,90.542
CZ0642,74.64
CZ0643,55.498
CZ0644,69.563
CZ0645,72.902
CZ0646,89.896
CZ0647,85.737
CZ0711,78.03
CZ0712,78.24
CZ0713,93.337
CZ0714,94.472
CZ0715,83.604
CZ0721,91.36
CZ0722,87.41
CZ0723,88.389
CZ0724,80.531
CZ0801,95.774
CZ0802,87.417
CZ0803,89.007
CZ0804,87.012
CZ0805,87.331
CZ0806,83.918
CZZZZZ,12.659
