NUTS,counted
CZ010,14.238
CZ0201,50.302
CZ0202,28.438
CZ0203,38.48
CZ0204,58.729
CZ0205,65.872
CZ0206,41.694
CZ0207,41.752
CZ0208,50.868
CZ0209,18.973
CZ020A,12.477
CZ020B,58.265
CZ020C,68.856
CZ0311,45.966
CZ0312,35.86
CZ0313,67.232
CZ0314,66.207
CZ0315,54.136
CZ0316,67.346
CZ0317,70.117
CZ0321,87.01
CZ0322,62.984
CZ0323,74.243
CZ0324,65.915
CZ0325,61.049
CZ0326,76.465
CZ0327,62.008
CZ0411,37.407
CZ0412,41.126
CZ0413,55.898
CZ0421,34.205
CZ0422,53.416
CZ0423,60.976
CZ0424,68.059
CZ0425,81.572
CZ0426,66.891
CZ0427,82.337
CZ0511,65.542
CZ0512,62.015
CZ0513,38.031
CZ0514,57.855
CZ0521,55.898
CZ0522,61.22
CZ0523,70.109
CZ0524,69.114
CZ0525,50.588
CZ0531,63.322
CZ0532,35.526
CZ0533,64.908
CZ0534,54.0
CZ0631,57.829
CZ0632,64.685
CZ0633,69.974
CZ0634,60.226
CZ0635,67.028
CZ0641,53.087
CZ0642,38.816
CZ0643,29.848
CZ0644,30.374
CZ0645,37.531
CZ0646,63.657
CZ0647,63.991
CZ0711,37.254
CZ0712,42.943
CZ0713,58.385
CZ0714,66.977
CZ0715,43.942
CZ0721,57.662
CZ0722,47.974
CZ0723,48.355
CZ0724,47.135
CZ0801,69.335
CZ0802,53.511
CZ0803,59.464
CZ0804,46.016
CZ0805,47.839
CZ0806,53.846
CZZZZZ,5.742
