NUTS,counted
CZ010,79.087
CZ0201,97.184
CZ0202,89.882
CZ0203,97.452
CZ0204,98.395
CZ0205,100.0
CZ0206,96.0
CZ0207,98.72
CZ0208,94.034
CZ0209,76.041
CZ020A,59.78
CZ020B,94.066
CZ020C,97.922
CZ0311,97.638
CZ0312,97.951
CZ0313,96.868
CZ0314,100.0
CZ0315,100.0
CZ0316,100.0
CZ0317,100.0
CZ0321,100.0
CZ0322,96.756
CZ0323,98.946
CZ0324,100.0
CZ0325,97.526
CZ0326,100.0
CZ0327,99.788
CZ0411,94.286
CZ0412,97.07
CZ0413,100.0
CZ0421,95.504
CZ0422,97.307
CZ0423,98.065
CZ0424,96.529
CZ0425,98.184
CZ0426,100.0
CZ0427,100.0
CZ0511,99.267
CZ0512,100.0
CZ0513,91.683
CZ0514,97.392
CZ0521,96.66
CZ0522,99.153
CZ0523,100.0
CZ0524,100.0
CZ0525,95.088
CZ0531,97.684
CZ0532,97.548
CZ0533,100.0
CZ0534,98.522
CZ0631,98.544
CZ0632,98.961
CZ0633,100.0
CZ0634,96.888
CZ0635,98.31
CZ0641,98.816
CZ0642,94.232
CZ0643,85.801
CZ0644,92.993
CZ0645,97.302
CZ0646,97.832
CZ0647,98.592
CZ0711,100.0
CZ0712,98.394
CZ0713,100.0
CZ0714,98.758
CZ0715,97.353
CZ0721,100.0
CZ0722,98.933
CZ0723,96.919
CZ0724,95.543
CZ0801,100.0
CZ0802,100.0
CZ0803,98.131
CZ0804,96.067
CZ0805,97.295
CZ0806,96.487
CZZZZZ,18.409
