NUTS,counted
CZ010,0.748
CZ0201,13.755
CZ0202,5.397
CZ0203,10.709
CZ0204,20.749
CZ0205,20.954
CZ0206,10.014
CZ0207,14.133
CZ0208,13.871
CZ0209,2.85
CZ020A,3.407
CZ020B,15.69
CZ020C,15.096
CZ0311,14.867
CZ0312,7.731
CZ0313,17.801
CZ0314,14.744
CZ0315,24.721
CZ0316,25.344
CZ0317,16.713
CZ0321,41.333
CZ0322,17.953
CZ0323,23.559
CZ0324,23.197
CZ0325,17.816
CZ0326,33.176
CZ0327,20.409
CZ0411,9.024
CZ0412,6.997
CZ0413,10.836
CZ0421,7.561
CZ0422,7.663
CZ0423,19.097
CZ0424,18.521
CZ0425,20.794
CZ0426,7.736
CZ0427,30.19
CZ0511,15.531
CZ0512,15.324
CZ0513,5.197
CZ0514,14.112
CZ0521,15.899
CZ0522,18.166
CZ0523,15.497
CZ0524,16.861
CZ0525,10.174
CZ0531,20.221
CZ0532,7.264
CZ0533,16.725
CZ0534,14.247
CZ0631,15.188
CZ0632,20.674
CZ0633,21.657
CZ0634,17.349
CZ0635,25.167
CZ0641,15.287
CZ0642,3.234
CZ0643,6.239
CZ0644,1.363
CZ0645,5.945
CZ0646,17.617
CZ0647,17.25
CZ0711,7.885
CZ0712,7.856
CZ0713,16.256
CZ0714,14.814
CZ0715,8.551
CZ0721,17.184
CZ0722,4.845
CZ0723,9.514
CZ0724,4.744
CZ0801,18.133
CZ0802,9.798
CZ0803,12.036
CZ0804,10.725
CZ0805,10.725
CZ0806,9.574
CZZZZZ,2.329
