NUTS,counted
CZ010,57.222
CZ0201,87.161
CZ0202,74.901
CZ0203,75.785
CZ0204,91.664
CZ0205,93.05
CZ0206,82.385
CZ0207,84.954
CZ0208,82.682
CZ0209,61.038
CZ020A,45.744
CZ020B,85.655
CZ020C,91.933
CZ0311,87.532
CZ0312,86.349
CZ0313,91.472
CZ0314,100.0
CZ0315,95.057
CZ0316,97.255
CZ0317,98.926
CZ0321,98.104
CZ0322,95.89
CZ0323,95.215
CZ0324,96.541
CZ0325,96.275
CZ0326,100.0
CZ0327,97.481
CZ0411,82.449
CZ0412,91.297
CZ0413,97.207
CZ0421,84.224
CZ0422,88.196
CZ0423,96.951
CZ0424,94.349
CZ0425,95.715
CZ0426,97.387
CZ0427,98.488
CZ0511,98.014
CZ0512,93.402
CZ0513,81.041
CZ0514,93.266
CZ0521,95.101
CZ0522,97.682
CZ0523,96.615
CZ0524,96.15
CZ0525,89.812
CZ0531,92.978
CZ0532,82.666
CZ0533,100.0
CZ0534,94.799
CZ0631,94.971
CZ0632,97.135
CZ0633,92.019
CZ0634,85.47
CZ0635,90.806
CZ0641,95.747
CZ0642,84.331
CZ0643,63.117
CZ0644,81.229
CZ0645,82.18
CZ0646,93.991
CZ0647,95.025
CZ0711,93.121
CZ0712,90.958
CZ0713,95.303
CZ0714,97.672
CZ0715,92.056
CZ0721,96.501
CZ0722,92.76
CZ0723,93.256
CZ0724,88.761
CZ0801,100.0
CZ0802,93.264
CZ0803,95.508
CZ0804,92.33
CZ0805,92.836
CZ0806,88.137
CZZZZZ,13.016
