NUTS,counted
CZ010,95.163
CZ0201,99.745
CZ0202,98.133
CZ0203,100.0
CZ0204,98.395
CZ0205,100.0
CZ0206,98.359
CZ0207,100.0
CZ0208,100.0
CZ0209,97.7
CZ020A,88.194
CZ020B,100.0
CZ020C,100.0
CZ0311,100.0
CZ0312,100.0
CZ0313,100.0
CZ0314,100.0
CZ0315,100.0
CZ0316,100.0
CZ0317,100.0
CZ0321,100.0
CZ0322,98.246
CZ0323,100.0
CZ0324,100.0
CZ0325,100.0
CZ0326,100.0
CZ0327,100.0
CZ0411,100.0
CZ0412,98.917
CZ0413,100.0
CZ0421,100.0
CZ0422,100.0
CZ0423,99.569
CZ0424,100.0
CZ0425,100.0
CZ0426,100.0
CZ0427,100.0
CZ0511,100.0
CZ0512,100.0
CZ0513,100.0
CZ0514,100.0
CZ0521,100.0
CZ0522,99.153
CZ0523,100.0
CZ0524,100.0
CZ0525,100.0
CZ0531,100.0
CZ0532,100.0
CZ0533,100.0
CZ0534,100.0
CZ0631,100.0
CZ0632,100.0
CZ0633,100.0
CZ0634,99.219
CZ0635,100.0
CZ0641,100.0
CZ0642,98.715
CZ0643,99.295
CZ0644,100.0
CZ0645,98.994
CZ0646,100.0
CZ0647,100.0
CZ0711,100.0
CZ0712,100.0
CZ0713,100.0
CZ0714,100.0
CZ0715,100.0
CZ0721,100.0
CZ0722,100.0
CZ0723,100.0
CZ0724,100.0
CZ0801,100.0
CZ0802,100.0
CZ0803,100.0
CZ0804,100.0
CZ0805,99.48
CZ0806,100.0
CZZZZZ,49.363
