NUTS,counted
CZ010,0.39
CZ0201,7.679
CZ0202,3.885
CZ0203,6.795
CZ0204,13.381
CZ0205,11.505
CZ0206,5.311
CZ0207,10.244
CZ0208,7.499
CZ0209,1.707
CZ020A,1.644
CZ020B,10.249
CZ020C,5.899
CZ0311,8.887
CZ0312,4.376
CZ0313,12.853
CZ0314,9.755
CZ0315,15.254
CZ0316,17.77
CZ0317,10.366
CZ0321,22.404
CZ0322,12.602
CZ0323,14.525
CZ0324,16.068
CZ0325,10.501
CZ0326,23.151
CZ0327,14.709
CZ0411,4.905
CZ0412,2.492
CZ0413,4.709
CZ0421,5.435
CZ0422,3.2
CZ0423,9.955
CZ0424,13.18
CZ0425,13.303
CZ0426,3.481
CZ0427,17.382
CZ0511,10.657
CZ0512,7.033
CZ0513,3.801
CZ0514,8.185
CZ0521,9.834
CZ0522,13.703
CZ0523,10.683
CZ0524,12.422
CZ0525,4.98
CZ0531,13.021
CZ0532,4.061
CZ0533,9.221
CZ0534,9.382
CZ0631,11.327
CZ0632,14.462
CZ0633,14.903
CZ0634,13.0
CZ0635,16.477
CZ0641,9.424
CZ0642,2.002
CZ0643,3.685
CZ0644,0.433
CZ0645,1.618
CZ0646,8.217
CZ0647,9.545
CZ0711,4.684
CZ0712,3.827
CZ0713,9.0
CZ0714,6.782
CZ0715,3.442
CZ0721,11.326
CZ0722,2.612
CZ0723,4.53
CZ0724,3.412
CZ0801,10.385
CZ0802,5.732
CZ0803,8.434
CZ0804,6.75
CZ0805,4.405
CZ0806,3.608
CZZZZZ,1.745
