NUTS,counted
CZ010,1.134
CZ0201,16.796
CZ0202,8.836
CZ0203,14.817
CZ0204,25.114
CZ0205,23.553
CZ0206,10.714
CZ0207,18.093
CZ0208,15.589
CZ0209,3.609
CZ020A,3.948
CZ020B,19.17
CZ020C,19.887
CZ0311,18.283
CZ0312,8.09
CZ0313,22.165
CZ0314,17.561
CZ0315,27.457
CZ0316,28.318
CZ0317,24.001
CZ0321,46.168
CZ0322,20.262
CZ0323,28.262
CZ0324,28.034
CZ0325,21.835
CZ0326,40.982
CZ0327,23.542
CZ0411,11.246
CZ0412,8.101
CZ0413,16.468
CZ0421,9.242
CZ0422,11.821
CZ0423,23.187
CZ0424,21.569
CZ0425,23.483
CZ0426,12.286
CZ0427,37.129
CZ0511,19.197
CZ0512,20.103
CZ0513,6.437
CZ0514,19.399
CZ0521,17.979
CZ0522,23.597
CZ0523,20.658
CZ0524,22.491
CZ0525,12.399
CZ0531,23.127
CZ0532,9.224
CZ0533,21.612
CZ0534,16.642
CZ0631,18.21
CZ0632,23.167
CZ0633,25.115
CZ0634,22.429
CZ0635,29.944
CZ0641,18.987
CZ0642,5.125
CZ0643,8.465
CZ0644,4.062
CZ0645,8.371
CZ0646,21.654
CZ0647,22.525
CZ0711,7.885
CZ0712,10.082
CZ0713,19.781
CZ0714,21.379
CZ0715,11.706
CZ0721,18.464
CZ0722,8.869
CZ0723,10.713
CZ0724,6.445
CZ0801,21.067
CZ0802,14.256
CZ0803,16.786
CZ0804,12.575
CZ0805,14.337
CZ0806,13.933
CZZZZZ,3.14
