NUTS,counted
CZ010,0.0
CZ0201,1.997
CZ0202,1.224
CZ0203,1.714
CZ0204,4.267
CZ0205,1.945
CZ0206,1.207
CZ0207,5.01
CZ0208,2.915
CZ0209,0.735
CZ020A,0.067
CZ020B,2.665
CZ020C,2.755
CZ0311,2.952
CZ0312,1.474
CZ0313,5.421
CZ0314,4.532
CZ0315,4.807
CZ0316,9.828
CZ0317,4.821
CZ0321,8.639
CZ0322,6.438
CZ0323,4.123
CZ0324,6.64
CZ0325,3.428
CZ0326,7.371
CZ0327,8.348
CZ0411,1.405
CZ0412,0.474
CZ0413,0.276
CZ0421,1.315
CZ0422,0.557
CZ0423,2.634
CZ0424,4.368
CZ0425,3.456
CZ0426,0.255
CZ0427,4.004
CZ0511,2.565
CZ0512,1.969
CZ0513,0.441
CZ0514,2.046
CZ0521,4.2
CZ0522,5.947
CZ0523,3.63
CZ0524,4.582
CZ0525,0.968
CZ0531,4.83
CZ0532,1.67
CZ0533,3.213
CZ0534,3.11
CZ0631,4.645
CZ0632,6.09
CZ0633,6.506
CZ0634,6.484
CZ0635,6.083
CZ0641,2.698
CZ0642,0.256
CZ0643,1.345
CZ0644,0.0
CZ0645,0.616
CZ0646,2.553
CZ0647,2.712
CZ0711,0.225
CZ0712,1.128
CZ0713,2.892
CZ0714,2.542
CZ0715,1.063
CZ0721,2.89
CZ0722,0.294
CZ0723,0.698
CZ0724,0.856
CZ0801,3.731
CZ0802,0.834
CZ0803,2.744
CZ0804,0.521
CZ0805,0.884
CZ0806,0.697
CZZZZZ,0.812
