NUTS,counted
CZ010,0.173
CZ0201,3.486
CZ0202,3.107
CZ0203,2.64
CZ0204,6.009
CZ0205,3.965
CZ0206,1.882
CZ0207,7.092
CZ0208,4.856
CZ0209,1.051
CZ020A,0.266
CZ020B,4.452
CZ020C,3.251
CZ0311,4.774
CZ0312,2.525
CZ0313,6.482
CZ0314,6.248
CZ0315,7.065
CZ0316,11.323
CZ0317,7.436
CZ0321,12.197
CZ0322,8.668
CZ0323,6.55
CZ0324,9.181
CZ0325,6.578
CZ0326,11.408
CZ0327,10.051
CZ0411,2.029
CZ0412,0.474
CZ0413,1.57
CZ0421,2.716
CZ0422,0.983
CZ0423,3.874
CZ0424,6.637
CZ0425,4.143
CZ0426,0.592
CZ0427,8.051
CZ0511,4.719
CZ0512,3.464
CZ0513,0.883
CZ0514,2.546
CZ0521,5.251
CZ0522,9.574
CZ0523,5.904
CZ0524,7.2
CZ0525,2.105
CZ0531,7.354
CZ0532,2.417
CZ0533,3.905
CZ0534,4.785
CZ0631,6.289
CZ0632,8.227
CZ0633,10.07
CZ0634,8.154
CZ0635,9.06
CZ0641,4.663
CZ0642,0.406
CZ0643,1.88
CZ0644,0.0
CZ0645,1.248
CZ0646,3.678
CZ0647,4.153
CZ0711,1.585
CZ0712,2.151
CZ0713,4.328
CZ0714,4.102
CZ0715,2.253
CZ0721,5.242
CZ0722,0.294
CZ0723,1.274
CZ0724,1.627
CZ0801,6.178
CZ0802,2.185
CZ0803,4.563
CZ0804,1.577
CZ0805,2.212
CZ0806,1.265
CZZZZZ,1.699
