NUTS,counted
CZ010,0.2
CZ0201,5.481
CZ0202,3.659
CZ0203,5.436
CZ0204,8.807
CZ0205,7.823
CZ0206,2.895
CZ0207,8.469
CZ0208,6.795
CZ0209,1.592
CZ020A,0.713
CZ020B,7.381
CZ020C,4.249
CZ0311,5.599
CZ0312,3.123
CZ0313,9.846
CZ0314,8.015
CZ0315,11.381
CZ0316,13.461
CZ0317,9.104
CZ0321,14.901
CZ0322,10.785
CZ0323,9.499
CZ0324,12.748
CZ0325,9.021
CZ0326,19.042
CZ0327,11.581
CZ0411,2.513
CZ0412,1.7
CZ0413,2.011
CZ0421,3.894
CZ0422,1.356
CZ0423,7.017
CZ0424,9.307
CZ0425,7.344
CZ0426,1.882
CZ0427,11.394
CZ0511,8.412
CZ0512,5.895
CZ0513,2.011
CZ0514,3.768
CZ0521,7.481
CZ0522,11.5
CZ0523,7.549
CZ0524,9.085
CZ0525,3.589
CZ0531,9.372
CZ0532,3.266
CZ0533,6.536
CZ0534,6.836
CZ0631,9.104
CZ0632,10.786
CZ0633,13.625
CZ0634,10.246
CZ0635,11.532
CZ0641,6.894
CZ0642,1.126
CZ0643,2.51
CZ0644,0.0
CZ0645,1.248
CZ0646,5.211
CZ0647,6.594
CZ0711,3.496
CZ0712,2.617
CZ0713,6.492
CZ0714,4.913
CZ0715,2.856
CZ0721,8.078
CZ0722,0.475
CZ0723,2.589
CZ0724,2.526
CZ0801,7.339
CZ0802,3.938
CZ0803,5.435
CZ0804,4.037
CZ0805,3.836
CZ0806,2.014
CZZZZZ,1.699
