NUTS,counted
CZ010,54.383
CZ0201,80.112
CZ0202,71.736
CZ0203,75.785
CZ0204,90.798
CZ0205,93.05
CZ0206,81.148
CZ0207,81.629
CZ0208,81.396
CZ0209,56.943
CZ020A,43.48
CZ020B,82.762
CZ020C,91.933
CZ0311,85.154
CZ0312,86.349
CZ0313,89.867
CZ0314,98.042
CZ0315,87.276
CZ0316,95.78
CZ0317,97.466
CZ0321,98.104
CZ0322,92.455
CZ0323,95.215
CZ0324,96.541
CZ0325,95.097
CZ0326,100.0
CZ0327,97.481
CZ0411,79.185
CZ0412,91.297
CZ0413,97.207
CZ0421,80.669
CZ0422,86.854
CZ0423,96.951
CZ0424,92.149
CZ0425,95.715
CZ0426,96.398
CZ0427,98.488
CZ0511,96.479
CZ0512,93.402
CZ0513,78.858
CZ0514,91.223
CZ0521,94.612
CZ0522,97.682
CZ0523,96.615
CZ0524,96.15
CZ0525,88.373
CZ0531,90.33
CZ0532,76.686
CZ0533,97.234
CZ0534,92.252
CZ0631,94.971
CZ0632,95.414
CZ0633,92.019
CZ0634,83.777
CZ0635,90.806
CZ0641,95.747
CZ0642,81.318
CZ0643,61.389
CZ0644,78.76
CZ0645,79.752
CZ0646,92.265
CZ0647,91.634
CZ0711,84.192
CZ0712,88.43
CZ0713,93.337
CZ0714,96.877
CZ0715,89.593
CZ0721,96.501
CZ0722,88.166
CZ0723,91.163
CZ0724,86.158
CZ0801,99.377
CZ0802,91.154
CZ0803,94.729
CZ0804,89.471
CZ0805,90.659
CZ0806,87.342
CZZZZZ,13.016
