NUTS,counted
CZ010,66.842
CZ0201,94.979
CZ0202,79.118
CZ0203,87.892
CZ0204,96.807
CZ0205,95.528
CZ0206,92.2
CZ0207,94.834
CZ0208,91.214
CZ0209,64.674
CZ020A,51.244
CZ020B,90.925
CZ020C,95.398
CZ0311,91.663
CZ0312,92.79
CZ0313,96.868
CZ0314,100.0
CZ0315,100.0
CZ0316,97.255
CZ0317,100.0
CZ0321,98.104
CZ0322,96.756
CZ0323,96.26
CZ0324,96.655
CZ0325,96.275
CZ0326,100.0
CZ0327,97.481
CZ0411,87.709
CZ0412,95.357
CZ0413,100.0
CZ0421,90.032
CZ0422,92.643
CZ0423,98.065
CZ0424,95.381
CZ0425,98.184
CZ0426,99.269
CZ0427,100.0
CZ0511,99.267
CZ0512,96.717
CZ0513,84.63
CZ0514,95.637
CZ0521,95.882
CZ0522,97.682
CZ0523,98.597
CZ0524,98.484
CZ0525,94.507
CZ0531,92.978
CZ0532,88.655
CZ0533,100.0
CZ0534,96.616
CZ0631,96.453
CZ0632,98.961
CZ0633,96.083
CZ0634,92.031
CZ0635,93.212
CZ0641,95.956
CZ0642,90.394
CZ0643,74.714
CZ0644,89.93
CZ0645,92.742
CZ0646,96.924
CZ0647,95.876
CZ0711,95.546
CZ0712,96.428
CZ0713,96.576
CZ0714,98.758
CZ0715,95.879
CZ0721,100.0
CZ0722,95.052
CZ0723,94.124
CZ0724,91.943
CZ0801,100.0
CZ0802,97.945
CZ0803,97.111
CZ0804,95.03
CZ0805,95.83
CZ0806,93.904
CZZZZZ,14.647
