NUTS,counted
CZ010,0.0
CZ0201,0.877
CZ0202,0.569
CZ0203,0.046
CZ0204,1.187
CZ0205,0.72
CZ0206,0.296
CZ0207,0.238
CZ0208,0.555
CZ0209,0.202
CZ020A,0.0
CZ020B,0.621
CZ020C,0.257
CZ0311,0.5
CZ0312,0.168
CZ0313,1.127
CZ0314,1.389
CZ0315,1.129
CZ0316,3.142
CZ0317,1.008
CZ0321,4.027
CZ0322,2.041
CZ0323,0.216
CZ0324,2.06
CZ0325,1.432
CZ0326,1.283
CZ0327,1.227
CZ0411,0.084
CZ0412,0.038
CZ0413,0.276
CZ0421,0.1
CZ0422,0.163
CZ0423,0.324
CZ0424,0.774
CZ0425,0.169
CZ0426,0.0
CZ0427,0.264
CZ0511,0.198
CZ0512,0.151
CZ0513,0.0
CZ0514,0.109
CZ0521,1.022
CZ0522,1.193
CZ0523,0.465
CZ0524,0.555
CZ0525,0.0
CZ0531,1.077
CZ0532,0.367
CZ0533,0.617
CZ0534,0.722
CZ0631,0.872
CZ0632,1.692
CZ0633,1.529
CZ0634,1.598
CZ0635,1.487
CZ0641,0.267
CZ0642,0.0
CZ0643,0.248
CZ0644,0.0
CZ0645,0.126
CZ0646,0.159
CZ0647,0.342
CZ0711,0.0
CZ0712,0.34
CZ0713,0.606
CZ0714,0.232
CZ0715,0.039
CZ0721,0.282
CZ0722,0.0
CZ0723,0.0
CZ0724,0.062
CZ0801,0.314
CZ0802,0.0
CZ0803,0.51
CZ0804,0.106
CZ0805,0.141
CZ0806,0.055
CZZZZZ,0.485
