NUTS,counted
CZ010,11.636
CZ0201,45.392
CZ0202,22.104
CZ0203,34.167
CZ0204,52.595
CZ0205,60.234
CZ0206,36.674
CZ0207,38.848
CZ0208,45.905
CZ0209,18.165
CZ020A,10.28
CZ020B,53.655
CZ020C,60.526
CZ0311,43.67
CZ0312,30.712
CZ0313,63.037
CZ0314,56.107
CZ0315,52.369
CZ0316,60.613
CZ0317,69.526
CZ0321,84.286
CZ0322,55.998
CZ0323,68.664
CZ0324,61.729
CZ0325,55.328
CZ0326,71.293
CZ0327,59.541
CZ0411,34.61
CZ0412,37.581
CZ0413,50.267
CZ0421,31.314
CZ0422,44.852
CZ0423,55.342
CZ0424,60.191
CZ0425,76.289
CZ0426,58.328
CZ0427,77.589
CZ0511,62.038
CZ0512,51.837
CZ0513,31.47
CZ0514,52.822
CZ0521,51.783
CZ0522,55.798
CZ0523,62.37
CZ0524,63.475
CZ0525,44.045
CZ0531,57.244
CZ0532,30.483
CZ0533,63.488
CZ0534,47.905
CZ0631,47.839
CZ0632,59.945
CZ0633,67.519
CZ0634,56.161
CZ0635,61.575
CZ0641,48.948
CZ0642,34.884
CZ0643,27.196
CZ0644,27.346
CZ0645,30.287
CZ0646,56.589
CZ0647,57.666
CZ0711,33.292
CZ0712,38.658
CZ0713,55.441
CZ0714,60.506
CZ0715,37.662
CZ0721,51.261
CZ0722,36.969
CZ0723,40.099
CZ0724,39.704
CZ0801,64.914
CZ0802,48.496
CZ0803,56.953
CZ0804,40.246
CZ0805,43.975
CZ0806,48.765
CZZZZZ,5.636
