NUTS,counted
CZ010,1.525
CZ0201,22.011
CZ0202,9.618
CZ0203,18.107
CZ0204,28.359
CZ0205,26.885
CZ0206,13.054
CZ0207,21.315
CZ0208,17.077
CZ0209,4.648
CZ020A,5.162
CZ020B,23.666
CZ020C,24.717
CZ0311,21.68
CZ0312,8.369
CZ0313,28.765
CZ0314,20.854
CZ0315,30.462
CZ0316,33.492
CZ0317,28.963
CZ0321,53.455
CZ0322,22.794
CZ0323,32.486
CZ0324,31.009
CZ0325,26.381
CZ0326,44.3
CZ0327,24.077
CZ0411,13.361
CZ0412,10.769
CZ0413,19.88
CZ0421,11.159
CZ0422,13.869
CZ0423,28.086
CZ0424,29.043
CZ0425,28.602
CZ0426,16.691
CZ0427,44.902
CZ0511,23.808
CZ0512,25.358
CZ0513,8.101
CZ0514,24.51
CZ0521,22.135
CZ0522,27.677
CZ0523,25.074
CZ0524,28.41
CZ0525,14.481
CZ0531,25.829
CZ0532,11.102
CZ0533,27.843
CZ0534,21.414
CZ0631,23.955
CZ0632,26.887
CZ0633,30.173
CZ0634,29.149
CZ0635,35.448
CZ0641,21.93
CZ0642,7.08
CZ0643,10.686
CZ0644,7.713
CZ0645,9.186
CZ0646,24.732
CZ0647,27.331
CZ0711,8.33
CZ0712,13.837
CZ0713,24.918
CZ0714,26.429
CZ0715,14.756
CZ0721,24.253
CZ0722,10.621
CZ0723,14.689
CZ0724,9.308
CZ0801,24.366
CZ0802,19.012
CZ0803,23.459
CZ0804,15.595
CZ0805,17.036
CZ0806,18.518
CZZZZZ,3.353
