NUTS,counted
CZ010,0.0
CZ0201,1.452
CZ0202,0.569
CZ0203,0.532
CZ0204,3.036
CZ0205,1.078
CZ0206,0.605
CZ0207,2.325
CZ0208,2.022
CZ0209,0.504
CZ020A,0.067
CZ020B,2.325
CZ020C,2.121
CZ0311,2.1
CZ0312,0.168
CZ0313,3.095
CZ0314,3.409
CZ0315,3.647
CZ0316,6.946
CZ0317,2.583
CZ0321,6.3
CZ0322,4.281
CZ0323,2.196
CZ0324,4.271
CZ0325,2.404
CZ0326,3.521
CZ0327,5.682
CZ0411,0.801
CZ0412,0.244
CZ0413,0.276
CZ0421,0.579
CZ0422,0.557
CZ0423,0.557
CZ0424,3.503
CZ0425,3.105
CZ0426,0.255
CZ0427,2.035
CZ0511,0.817
CZ0512,1.809
CZ0513,0.254
CZ0514,0.531
CZ0521,2.813
CZ0522,4.605
CZ0523,1.633
CZ0524,2.688
CZ0525,0.37
CZ0531,3.701
CZ0532,1.228
CZ0533,2.278
CZ0534,2.225
CZ0631,3.36
CZ0632,3.635
CZ0633,4.645
CZ0634,4.065
CZ0635,4.538
CZ0641,2.151
CZ0642,0.0
CZ0643,0.99
CZ0644,0.0
CZ0645,0.126
CZ0646,1.586
CZ0647,1.464
CZ0711,0.225
CZ0712,0.949
CZ0713,2.22
CZ0714,1.799
CZ0715,0.983
CZ0721,1.816
CZ0722,0.147
CZ0723,0.204
CZ0724,0.326
CZ0801,1.598
CZ0802,0.0
CZ0803,1.973
CZ0804,0.194
CZ0805,0.432
CZ0806,0.171
CZZZZZ,0.812
