NUTS,counted
CZ010,5.361
CZ0201,32.871
CZ0202,15.338
CZ0203,27.42
CZ0204,40.061
CZ0205,45.229
CZ0206,22.618
CZ0207,30.152
CZ0208,27.54
CZ0209,10.866
CZ020A,6.32
CZ020B,37.459
CZ020C,41.035
CZ0311,33.722
CZ0312,16.761
CZ0313,45.179
CZ0314,39.266
CZ0315,41.1
CZ0316,45.905
CZ0317,49.677
CZ0321,68.841
CZ0322,38.575
CZ0323,48.177
CZ0324,47.153
CZ0325,43.296
CZ0326,57.199
CZ0327,39.513
CZ0411,21.645
CZ0412,25.148
CZ0413,30.668
CZ0421,19.628
CZ0422,28.628
CZ0423,37.13
CZ0424,43.904
CZ0425,55.291
CZ0426,35.857
CZ0427,60.714
CZ0511,39.678
CZ0512,40.568
CZ0513,14.928
CZ0514,41.38
CZ0521,35.956
CZ0522,42.302
CZ0523,44.742
CZ0524,47.615
CZ0525,26.367
CZ0531,37.125
CZ0532,19.412
CZ0533,42.637
CZ0534,34.565
CZ0631,36.988
CZ0632,42.22
CZ0633,42.896
CZ0634,42.579
CZ0635,48.524
CZ0641,35.379
CZ0642,18.271
CZ0643,18.919
CZ0644,13.791
CZ0645,18.445
CZ0646,39.064
CZ0647,39.247
CZ0711,20.155
CZ0712,26.829
CZ0713,43.603
CZ0714,42.094
CZ0715,24.71
CZ0721,35.781
CZ0722,22.284
CZ0723,30.251
CZ0724,21.814
CZ0801,45.38
CZ0802,31.453
CZ0803,39.397
CZ0804,27.456
CZ0805,29.646
CZ0806,32.682
CZZZZZ,4.043
