NUTS,counted
CZ010,69.747
CZ0201,94.979
CZ0202,81.046
CZ0203,92.208
CZ0204,96.807
CZ0205,99.802
CZ0206,92.2
CZ0207,98.72
CZ0208,94.034
CZ0209,67.619
CZ020A,53.201
CZ020B,90.925
CZ020C,95.398
CZ0311,95.889
CZ0312,97.951
CZ0313,96.868
CZ0314,100.0
CZ0315,100.0
CZ0316,97.255
CZ0317,100.0
CZ0321,98.104
CZ0322,96.756
CZ0323,96.26
CZ0324,96.655
CZ0325,96.275
CZ0326,100.0
CZ0327,97.481
CZ0411,89.898
CZ0412,97.07
CZ0413,100.0
CZ0421,91.959
CZ0422,92.643
CZ0423,98.065
CZ0424,95.381
CZ0425,98.184
CZ0426,99.269
CZ0427,100.0
CZ0511,99.267
CZ0512,96.83
CZ0513,89.12
CZ0514,95.637
CZ0521,95.882
CZ0522,99.153
CZ0523,100.0
CZ0524,98.484
CZ0525,94.507
CZ0531,92.978
CZ0532,92.329
CZ0533,100.0
CZ0534,98.444
CZ0631,97.798
CZ0632,98.961
CZ0633,100.0
CZ0634,95.268
CZ0635,94.547
CZ0641,96.932
CZ0642,91.345
CZ0643,77.907
CZ0644,89.93
CZ0645,93.69
CZ0646,96.924
CZ0647,97.409
CZ0711,95.546
CZ0712,97.332
CZ0713,96.576
CZ0714,98.758
CZ0715,96.454
CZ0721,100.0
CZ0722,97.234
CZ0723,95.984
CZ0724,92.668
CZ0801,100.0
CZ0802,97.945
CZ0803,97.815
CZ0804,96.067
CZ0805,96.534
CZ0806,95.292
CZZZZZ,15.329
