NUTS,counted
CZ010,24.289
CZ0201,62.429
CZ0202,38.713
CZ0203,49.861
CZ0204,73.2
CZ0205,75.614
CZ0206,55.696
CZ0207,55.671
CZ0208,58.598
CZ0209,30.484
CZ020A,19.078
CZ020B,67.909
CZ020C,77.251
CZ0311,61.019
CZ0312,59.573
CZ0313,72.405
CZ0314,82.635
CZ0315,63.976
CZ0316,82.881
CZ0317,76.394
CZ0321,91.897
CZ0322,81.599
CZ0323,83.043
CZ0324,83.539
CZ0325,77.672
CZ0326,86.925
CZ0327,76.895
CZ0411,51.091
CZ0412,56.337
CZ0413,73.579
CZ0421,51.662
CZ0422,67.572
CZ0423,74.576
CZ0424,82.082
CZ0425,87.438
CZ0426,84.525
CZ0427,90.165
CZ0511,85.737
CZ0512,76.412
CZ0513,51.351
CZ0514,74.96
CZ0521,68.263
CZ0522,73.754
CZ0523,86.113
CZ0524,81.842
CZ0525,68.133
CZ0531,70.977
CZ0532,53.843
CZ0533,75.21
CZ0534,67.307
CZ0631,74.53
CZ0632,77.21
CZ0633,81.081
CZ0634,70.38
CZ0635,76.539
CZ0641,69.925
CZ0642,55.13
CZ0643,39.968
CZ0644,46.038
CZ0645,52.293
CZ0646,71.669
CZ0647,73.812
CZ0711,51.113
CZ0712,55.791
CZ0713,76.194
CZ0714,82.172
CZ0715,59.154
CZ0721,70.745
CZ0722,63.1
CZ0723,66.727
CZ0724,58.679
CZ0801,84.827
CZ0802,68.085
CZ0803,70.154
CZ0804,64.14
CZ0805,66.783
CZ0806,67.927
CZZZZZ,8.23
