NUTS,counted
CZ010,3.78
CZ0201,29.19
CZ0202,12.38
CZ0203,26.613
CZ0204,37.726
CZ0205,39.849
CZ0206,20.447
CZ0207,26.044
CZ0208,25.618
CZ0209,8.121
CZ020A,5.162
CZ020B,31.67
CZ020C,36.08
CZ0311,30.327
CZ0312,15.724
CZ0313,36.515
CZ0314,30.481
CZ0315,38.153
CZ0316,39.26
CZ0317,39.866
CZ0321,64.132
CZ0322,34.771
CZ0323,45.154
CZ0324,42.873
CZ0325,37.621
CZ0326,55.616
CZ0327,36.371
CZ0411,19.907
CZ0412,19.478
CZ0413,26.185
CZ0421,17.632
CZ0422,23.671
CZ0423,34.021
CZ0424,39.304
CZ0425,44.222
CZ0426,29.211
CZ0427,57.125
CZ0511,33.886
CZ0512,34.79
CZ0513,13.938
CZ0514,34.658
CZ0521,31.797
CZ0522,35.321
CZ0523,37.992
CZ0524,37.087
CZ0525,21.194
CZ0531,31.667
CZ0532,16.902
CZ0533,36.287
CZ0534,29.721
CZ0631,34.292
CZ0632,36.81
CZ0633,39.042
CZ0634,37.067
CZ0635,44.531
CZ0641,28.867
CZ0642,13.577
CZ0643,15.29
CZ0644,10.612
CZ0645,12.881
CZ0646,34.096
CZ0647,33.76
CZ0711,15.482
CZ0712,21.466
CZ0713,37.669
CZ0714,34.606
CZ0715,21.786
CZ0721,29.662
CZ0722,18.904
CZ0723,24.143
CZ0724,17.126
CZ0801,35.16
CZ0802,28.062
CZ0803,32.84
CZ0804,24.572
CZ0805,25.029
CZ0806,27.537
CZZZZZ,3.717
