NUTS,counted
CZ010,17.581
CZ0201,53.208
CZ0202,32.069
CZ0203,42.945
CZ0204,63.994
CZ0205,69.428
CZ0206,44.382
CZ0207,45.678
CZ0208,55.154
CZ0209,22.585
CZ020A,14.224
CZ020B,62.523
CZ020C,68.91
CZ0311,51.968
CZ0312,43.843
CZ0313,67.232
CZ0314,70.177
CZ0315,56.424
CZ0316,74.286
CZ0317,73.891
CZ0321,87.267
CZ0322,69.159
CZ0323,75.871
CZ0324,72.218
CZ0325,64.842
CZ0326,76.465
CZ0327,66.995
CZ0411,42.576
CZ0412,43.116
CZ0413,60.912
CZ0421,41.026
CZ0422,61.307
CZ0423,64.566
CZ0424,76.502
CZ0425,83.581
CZ0426,75.22
CZ0427,84.768
CZ0511,68.997
CZ0512,71.633
CZ0513,44.801
CZ0514,62.96
CZ0521,60.053
CZ0522,65.57
CZ0523,75.582
CZ0524,74.549
CZ0525,59.363
CZ0531,65.668
CZ0532,40.867
CZ0533,68.6
CZ0534,59.101
CZ0631,65.985
CZ0632,69.214
CZ0633,71.667
CZ0634,66.463
CZ0635,69.978
CZ0641,59.137
CZ0642,43.76
CZ0643,32.65
CZ0644,37.46
CZ0645,45.116
CZ0646,67.678
CZ0647,70.122
CZ0711,40.637
CZ0712,47.976
CZ0713,64.241
CZ0714,71.256
CZ0715,47.653
CZ0721,64.3
CZ0722,53.122
CZ0723,56.458
CZ0724,51.516
CZ0801,79.311
CZ0802,59.426
CZ0803,63.469
CZ0804,52.184
CZ0805,55.362
CZ0806,60.372
CZZZZZ,6.88
