NUTS,counted
CZ010,41.357
CZ0201,72.009
CZ0202,53.465
CZ0203,66.458
CZ0204,85.096
CZ0205,87.265
CZ0206,72.89
CZ0207,70.431
CZ0208,78.736
CZ0209,45.603
CZ020A,35.044
CZ020B,78.139
CZ020C,83.806
CZ0311,79.527
CZ0312,78.326
CZ0313,82.648
CZ0314,94.353
CZ0315,81.896
CZ0316,95.78
CZ0317,94.11
CZ0321,98.104
CZ0322,87.525
CZ0323,91.805
CZ0324,88.622
CZ0325,95.097
CZ0326,91.658
CZ0327,92.148
CZ0411,72.89
CZ0412,76.082
CZ0413,91.209
CZ0421,69.451
CZ0422,78.844
CZ0423,92.163
CZ0424,89.616
CZ0425,93.5
CZ0426,93.501
CZ0427,92.966
CZ0511,92.573
CZ0512,90.443
CZ0513,70.977
CZ0514,87.865
CZ0521,89.266
CZ0522,94.011
CZ0523,95.532
CZ0524,90.548
CZ0525,80.888
CZ0531,81.272
CZ0532,66.738
CZ0533,91.272
CZ0534,81.943
CZ0631,86.247
CZ0632,90.278
CZ0633,84.98
CZ0634,80.575
CZ0635,86.486
CZ0641,83.107
CZ0642,71.18
CZ0643,53.701
CZ0644,66.632
CZ0645,67.391
CZ0646,87.378
CZ0647,85.737
CZ0711,75.99
CZ0712,75.389
CZ0713,88.351
CZ0714,92.436
CZ0715,77.038
CZ0721,86.921
CZ0722,84.569
CZ0723,84.449
CZ0724,78.623
CZ0801,95.774
CZ0802,84.673
CZ0803,85.462
CZ0804,85.24
CZ0805,80.203
CZ0806,81.465
CZZZZZ,12.379
