NUTS,counted
CZ010,2.341
CZ0201,24.496
CZ0202,11.59
CZ0203,23.428
CZ0204,32.421
CZ0205,31.373
CZ0206,16.21
CZ0207,22.848
CZ0208,21.78
CZ0209,5.922
CZ020A,5.162
CZ020B,27.497
CZ020C,31.746
CZ0311,24.691
CZ0312,10.488
CZ0313,33.311
CZ0314,25.647
CZ0315,33.829
CZ0316,35.82
CZ0317,37.087
CZ0321,58.775
CZ0322,27.283
CZ0323,39.174
CZ0324,35.897
CZ0325,31.902
CZ0326,49.764
CZ0327,30.412
CZ0411,16.955
CZ0412,14.1
CZ0413,24.119
CZ0421,13.425
CZ0422,17.629
CZ0423,30.122
CZ0424,35.496
CZ0425,35.556
CZ0426,21.218
CZ0427,53.301
CZ0511,27.426
CZ0512,30.058
CZ0513,9.618
CZ0514,29.178
CZ0521,26.898
CZ0522,32.532
CZ0523,30.664
CZ0524,34.428
CZ0525,16.663
CZ0531,28.47
CZ0532,13.013
CZ0533,32.081
CZ0534,25.909
CZ0631,29.169
CZ0632,31.687
CZ0633,35.503
CZ0634,33.304
CZ0635,41.618
CZ0641,26.827
CZ0642,9.409
CZ0643,12.146
CZ0644,8.908
CZ0645,10.612
CZ0646,29.16
CZ0647,31.092
CZ0711,9.834
CZ0712,17.066
CZ0713,34.114
CZ0714,31.334
CZ0715,18.968
CZ0721,25.757
CZ0722,11.782
CZ0723,20.448
CZ0724,12.712
CZ0801,32.04
CZ0802,23.465
CZ0803,28.173
CZ0804,20.371
CZ0805,22.449
CZ0806,22.986
CZZZZZ,3.717
