NUTS,counted
CZ010,72.953
CZ0201,94.979
CZ0202,84.096
CZ0203,95.72
CZ0204,98.395
CZ0205,100.0
CZ0206,93.135
CZ0207,98.72
CZ0208,94.034
CZ0209,70.86
CZ020A,54.44
CZ020B,93.167
CZ020C,95.398
CZ0311,96.568
CZ0312,97.951
CZ0313,96.868
CZ0314,100.0
CZ0315,100.0
CZ0316,97.945
CZ0317,100.0
CZ0321,98.104
CZ0322,96.756
CZ0323,97.73
CZ0324,96.655
CZ0325,96.275
CZ0326,100.0
CZ0327,99.788
CZ0411,91.131
CZ0412,97.07
CZ0413,100.0
CZ0421,94.012
CZ0422,92.643
CZ0423,98.065
CZ0424,96.529
CZ0425,98.184
CZ0426,99.269
CZ0427,100.0
CZ0511,99.267
CZ0512,100.0
CZ0513,91.683
CZ0514,95.637
CZ0521,95.882
CZ0522,99.153
CZ0523,100.0
CZ0524,98.484
CZ0525,95.088
CZ0531,94.515
CZ0532,94.293
CZ0533,100.0
CZ0534,98.522
CZ0631,97.798
CZ0632,98.961
CZ0633,100.0
CZ0634,95.268
CZ0635,96.017
CZ0641,96.932
CZ0642,92.232
CZ0643,80.533
CZ0644,91.952
CZ0645,95.429
CZ0646,96.924
CZ0647,98.592
CZ0711,95.546
CZ0712,97.942
CZ0713,98.729
CZ0714,98.758
CZ0715,97.353
CZ0721,100.0
CZ0722,97.234
CZ0723,95.984
CZ0724,93.071
CZ0801,100.0
CZ0802,99.23
CZ0803,97.815
CZ0804,96.067
CZ0805,96.534
CZ0806,95.292
CZZZZZ,16.611
