,0
SOUCET_HLASU,5372643
Svoboda a př. demokracie (SPD)_votes,513848
"SPOLU – ODS, KDU-ČSL, TOP 09_votes",1493026
PIRÁTI a STAROSTOVÉ_votes,838621
ANO 2011_votes,1457979
Svoboda a př. demokracie (SPD)_percent,9.56
"SPOLU – ODS, KDU-ČSL, TOP 09_percent",27.79
PIRÁTI a STAROSTOVÉ_percent,15.61
ANO 2011_percent,27.14
