,0
SOUCET_HLASU,4050424
Svoboda a př. demokracie (SPD)_votes,409158
"SPOLU – ODS, KDU-ČSL, TOP 09_votes",1063809
PIRÁTI a STAROSTOVÉ_votes,598795
ANO 2011_votes,1149742
Svoboda a př. demokracie (SPD)_percent,10.1
"SPOLU – ODS, KDU-ČSL, TOP 09_percent",26.26
PIRÁTI a STAROSTOVÉ_percent,14.78
ANO 2011_percent,28.39
