,0
SOUCET_HLASU,5361339
Svoboda a př. demokracie (SPD)_votes,513261
"SPOLU – ODS, KDU-ČSL, TOP 09_votes",1488866
PIRÁTI a STAROSTOVÉ_votes,835621
ANO 2011_votes,1456064
Svoboda a př. demokracie (SPD)_percent,9.57
"SPOLU – ODS, KDU-ČSL, TOP 09_percent",27.77
PIRÁTI a STAROSTOVÉ_percent,15.59
ANO 2011_percent,27.16
