,0
SOUCET_HLASU,769578
Svoboda a př. demokracie (SPD)_votes,83650
"SPOLU – ODS, KDU-ČSL, TOP 09_votes",184642
PIRÁTI a STAROSTOVÉ_votes,103894
ANO 2011_votes,231689
Svoboda a př. demokracie (SPD)_percent,10.87
"SPOLU – ODS, KDU-ČSL, TOP 09_percent",23.99
PIRÁTI a STAROSTOVÉ_percent,13.5
ANO 2011_percent,30.11
