,0
SOUCET_HLASU,5004204
Svoboda a př. demokracie (SPD)_votes,490340
"SPOLU – ODS, KDU-ČSL, TOP 09_votes",1358527
PIRÁTI a STAROSTOVÉ_votes,762377
ANO 2011_votes,1383952
Svoboda a př. demokracie (SPD)_percent,9.8
"SPOLU – ODS, KDU-ČSL, TOP 09_percent",27.15
PIRÁTI a STAROSTOVÉ_percent,15.23
ANO 2011_percent,27.66
