,0
SOUCET_HLASU,1572236
Svoboda a př. demokracie (SPD)_votes,168081
"SPOLU – ODS, KDU-ČSL, TOP 09_votes",385850
PIRÁTI a STAROSTOVÉ_votes,217842
ANO 2011_votes,467727
Svoboda a př. demokracie (SPD)_percent,10.69
"SPOLU – ODS, KDU-ČSL, TOP 09_percent",24.54
PIRÁTI a STAROSTOVÉ_percent,13.86
ANO 2011_percent,29.75
