,0
SOUCET_HLASU,5368674
Svoboda a př. demokracie (SPD)_votes,513572
"SPOLU – ODS, KDU-ČSL, TOP 09_votes",1491740
PIRÁTI a STAROSTOVÉ_votes,837634
ANO 2011_votes,1457266
Svoboda a př. demokracie (SPD)_percent,9.57
"SPOLU – ODS, KDU-ČSL, TOP 09_percent",27.79
PIRÁTI a STAROSTOVÉ_percent,15.6
ANO 2011_percent,27.14
