,0
SOUCET_HLASU,5197705
Svoboda a př. demokracie (SPD)_votes,503534
"SPOLU – ODS, KDU-ČSL, TOP 09_votes",1427789
PIRÁTI a STAROSTOVÉ_votes,799457
ANO 2011_votes,1425177
Svoboda a př. demokracie (SPD)_percent,9.69
"SPOLU – ODS, KDU-ČSL, TOP 09_percent",27.47
PIRÁTI a STAROSTOVÉ_percent,15.38
ANO 2011_percent,27.42
