,0
SOUCET_HLASU,366938
Svoboda a př. demokracie (SPD)_votes,40270
"SPOLU – ODS, KDU-ČSL, TOP 09_votes",87092
PIRÁTI a STAROSTOVÉ_votes,49262
ANO 2011_votes,110721
Svoboda a př. demokracie (SPD)_percent,10.97
"SPOLU – ODS, KDU-ČSL, TOP 09_percent",23.73
PIRÁTI a STAROSTOVÉ_percent,13.43
ANO 2011_percent,30.17
