,0
SOUCET_HLASU,5355634
Svoboda a př. demokracie (SPD)_votes,513007
"SPOLU – ODS, KDU-ČSL, TOP 09_votes",1486349
PIRÁTI a STAROSTOVÉ_votes,834235
ANO 2011_votes,1455239
Svoboda a př. demokracie (SPD)_percent,9.58
"SPOLU – ODS, KDU-ČSL, TOP 09_percent",27.75
PIRÁTI a STAROSTOVÉ_percent,15.58
ANO 2011_percent,27.17
