,0
SOUCET_HLASU,5316600
Svoboda a př. demokracie (SPD)_votes,510920
"SPOLU – ODS, KDU-ČSL, TOP 09_votes",1471834
PIRÁTI a STAROSTOVÉ_votes,824706
ANO 2011_votes,1448307
Svoboda a př. demokracie (SPD)_percent,9.61
"SPOLU – ODS, KDU-ČSL, TOP 09_percent",27.68
PIRÁTI a STAROSTOVÉ_percent,15.51
ANO 2011_percent,27.24
