,0
SOUCET_HLASU,4745975
Svoboda a př. demokracie (SPD)_votes,470106
"SPOLU – ODS, KDU-ČSL, TOP 09_votes",1274353
PIRÁTI a STAROSTOVÉ_votes,714763
ANO 2011_votes,1325003
Svoboda a př. demokracie (SPD)_percent,9.91
"SPOLU – ODS, KDU-ČSL, TOP 09_percent",26.85
PIRÁTI a STAROSTOVÉ_percent,15.06
ANO 2011_percent,27.92
