,0
SOUCET_HLASU,5371430
Svoboda a př. demokracie (SPD)_votes,513785
"SPOLU – ODS, KDU-ČSL, TOP 09_votes",1492581
PIRÁTI a STAROSTOVÉ_votes,838362
ANO 2011_votes,1457753
Svoboda a př. demokracie (SPD)_percent,9.57
"SPOLU – ODS, KDU-ČSL, TOP 09_percent",27.79
PIRÁTI a STAROSTOVÉ_percent,15.61
ANO 2011_percent,27.14
