,0
SOUCET_HLASU,3030616
Svoboda a př. demokracie (SPD)_votes,314500
"SPOLU – ODS, KDU-ČSL, TOP 09_votes",773046
PIRÁTI a STAROSTOVÉ_votes,434572
ANO 2011_votes,880061
Svoboda a př. demokracie (SPD)_percent,10.38
"SPOLU – ODS, KDU-ČSL, TOP 09_percent",25.51
PIRÁTI a STAROSTOVÉ_percent,14.34
ANO 2011_percent,29.04
