,0
SOUCET_HLASU,5374498
Svoboda a př. demokracie (SPD)_votes,513900
"SPOLU – ODS, KDU-ČSL, TOP 09_votes",1493701
PIRÁTI a STAROSTOVÉ_votes,839448
ANO 2011_votes,1458121
Svoboda a př. demokracie (SPD)_percent,9.56
"SPOLU – ODS, KDU-ČSL, TOP 09_percent",27.79
PIRÁTI a STAROSTOVÉ_percent,15.62
ANO 2011_percent,27.13
