,0
SOUCET_HLASU,44230
Svoboda a př. demokracie (SPD)_votes,4756
"SPOLU – ODS, KDU-ČSL, TOP 09_votes",10469
PIRÁTI a STAROSTOVÉ_votes,5579
ANO 2011_votes,13678
Svoboda a př. demokracie (SPD)_percent,10.75
"SPOLU – ODS, KDU-ČSL, TOP 09_percent",23.67
PIRÁTI a STAROSTOVÉ_percent,12.61
ANO 2011_percent,30.92
