,0
SOUCET_HLASU,22688
Svoboda a př. demokracie (SPD)_votes,2427
"SPOLU – ODS, KDU-ČSL, TOP 09_votes",5392
PIRÁTI a STAROSTOVÉ_votes,2868
ANO 2011_votes,7005
Svoboda a př. demokracie (SPD)_percent,10.7
"SPOLU – ODS, KDU-ČSL, TOP 09_percent",23.77
PIRÁTI a STAROSTOVÉ_percent,12.64
ANO 2011_percent,30.88
