,0
SOUCET_HLASU,945076
Svoboda a př. demokracie (SPD)_votes,102646
"SPOLU – ODS, KDU-ČSL, TOP 09_votes",227126
PIRÁTI a STAROSTOVÉ_votes,128187
ANO 2011_votes,284444
Svoboda a př. demokracie (SPD)_percent,10.86
"SPOLU – ODS, KDU-ČSL, TOP 09_percent",24.03
PIRÁTI a STAROSTOVÉ_percent,13.56
ANO 2011_percent,30.1
