,0
SOUCET_HLASU,1343994
Svoboda a př. demokracie (SPD)_votes,144467
"SPOLU – ODS, KDU-ČSL, TOP 09_votes",327409
PIRÁTI a STAROSTOVÉ_votes,185839
ANO 2011_votes,401067
Svoboda a př. demokracie (SPD)_percent,10.75
"SPOLU – ODS, KDU-ČSL, TOP 09_percent",24.36
PIRÁTI a STAROSTOVÉ_percent,13.83
ANO 2011_percent,29.84
