,0
SOUCET_HLASU,4821252
Svoboda a př. demokracie (SPD)_votes,476450
"SPOLU – ODS, KDU-ČSL, TOP 09_votes",1298096
PIRÁTI a STAROSTOVÉ_votes,728099
ANO 2011_votes,1342756
Svoboda a př. demokracie (SPD)_percent,9.88
"SPOLU – ODS, KDU-ČSL, TOP 09_percent",26.92
PIRÁTI a STAROSTOVÉ_percent,15.1
ANO 2011_percent,27.85
