,0
SOUCET_HLASU,480238
Svoboda a př. demokracie (SPD)_votes,52568
"SPOLU – ODS, KDU-ČSL, TOP 09_votes",114663
PIRÁTI a STAROSTOVÉ_votes,64572
ANO 2011_votes,144539
Svoboda a př. demokracie (SPD)_percent,10.95
"SPOLU – ODS, KDU-ČSL, TOP 09_percent",23.88
PIRÁTI a STAROSTOVÉ_percent,13.45
ANO 2011_percent,30.1
