,0
SOUCET_HLASU,5098874
Svoboda a př. demokracie (SPD)_votes,496888
"SPOLU – ODS, KDU-ČSL, TOP 09_votes",1392513
PIRÁTI a STAROSTOVÉ_votes,780260
ANO 2011_votes,1404107
Svoboda a př. demokracie (SPD)_percent,9.75
"SPOLU – ODS, KDU-ČSL, TOP 09_percent",27.31
PIRÁTI a STAROSTOVÉ_percent,15.3
ANO 2011_percent,27.54
